Branch,Cutoff_Rank
UR Planning,0.0
MN Mining,0.0
AR Architecture,256.5
EG Energy Engineering,3183.75
MN Mining Engineering,8789.0
IB CS-IoT Block Chain,17437.25
MC Mathematics and Computing,18863.5
SA Smart Agritech,22870.25
IY CS-IT-Cyber Security,24592.0
ZH B TECH IN COMP.SC.ART.INT,25427.5
TI Industrial IoT,29304.75
CI Computer and Information,31250.25
IS Information Sc. and Tech.,32061.0
BC Computer Tech.,32117.25
CK Civil Engg (Kannada),34530.0
ET Elec. Telecommn.,34664.75
II EC -Industrial Integrated,34874.0
CV Civil Environment Engg,39793.0
BY B Tech in DO,40554.75
DG DG,42202.0
DM B.TECH IN CS NW,42261.75
SS CS and System Engg,42603.0
BK B Tech in EN,42630.0
CG Computer Science and Tech,44199.0
RM CS-RO Engg-AI and ML,44829.75
ZN B.TECH IN PHARM. ENGG.,45069.75
YI B.TECH IN MECHANICAL,46393.0
CZ B Tech in LC,46692.0
IG Information Technology,46749.75
mn Mining Engineering,47212.0
MI Mining Engineering,47845.5
CX B Tech in IY,47943.0
"IC IoT, Cyber Security",48419.5
CN B Tech in IB,49125.0
PL Petroleum Engineering,49479.0
YE B.TECH IN CIV.CONST.SUST.,49540.0
DK B Tech in SS,49638.5
CR Ceramics,50019.0
BI Information Tech.,50420.0
AM B Tech in AM,52100.5
IO CS- Internet of Things,52874.25
MK Mechanical Engg (Kannada),53822.0
CC Computer and Comm. Engg.,54016.5
BD CS- Big Data,54131.5
LD B Tech in DS,54259.5
DD B Tech in MS,54475.75
YC B.TECH IN EMD. SYS. VLSI,55461.75
EA Agriculture Engineering,55594.0
CF CS(Artificial Intel.),55638.0
DN B.Tech in VLSI,56016.0
ER Electrical and Computer,56935.5
TC Telecommn.,57504.0
MT Mechatronics,57798.5
BU B Tech in CI,58862.5
BG B Tech in AD,58918.25
OP Comp. Sc. Engg- Dev Ops,59205.75
ZT B.TECH. IN MECH.SMAR.MANU,59229.0
LA B Plan,59415.5
CT Const. Tech. Mgmt.,59644.0
EN Environmental,59950.5
BA B.Tech(Agri.Engg),60107.75
CS Computers,60977.0
IP Ind.Prodn.,61019.75
DL B.TECH IN CS,61233.25
ET Elec. Telecommn. Engg.,61236.25
EZ ELECTRONICS AND COMPUT,61294.25
ZU CYBER SECURITY,61312.5
