Year,Branch,Count
2020,"AD Artificial Intel, Data Sc",75
2020,AE Aeronaut.Engg,405
2020,AI Artificial Intelligence,979
2020,AT Automotive Engg.,3
2020,AU Automobile,89
2020,BC Computer Tech.,28
2020,BD CS- Big Data,26
2020,BE Bio-Electronics Engg.,16
2020,BI Information Tech.,19
2020,BM Bio Medical,69
2020,BT Bio Technology,538
2020,CB Comp. Sc. and Bus Sys.,84
2020,CC Computer and Comm. Engg.,36
2020,CE Civil,2578
2020,CH Chemical,224
2020,CI Computer and Information,48
2020,CO Computer Engineering,45
2020,CR Ceramics,2
2020,CS Computers,7127
2020,CT Const. Tech. Mgmt.,18
2020,CY CS- Cyber Security,79
2020,DS Comp. Sc. Engg- Data Sc.,144
2020,EC Electronics,4463
2020,EE Electrical,1975
2020,EI Elec. Inst. Engg,401
2020,EN Environmental,51
2020,ER Electrical and Computer,12
2020,ES Electronics and Computer,20
2020,ET Elec. Telecommn.,108
2020,"IC IoT, Cyber Security",2
2020,IE Info.Science,2878
2020,II EC -Industrial Integrated,31
2020,IM Ind. Engg. Mgmt.,194
2020,IO CS- Internet of Things,21
2020,IP Ind.Prodn.,125
2020,LC CS- Block Chain,6
2020,MC Mathamatics and Computing,3
2020,MD Med.Elect.,136
2020,ME Mechanical,1404
2020,"MM Mechanical, Smart Manf.",12
2020,MN Mining,1
2020,MR Marine Engineering,21
2020,MT Mechatronics,42
2020,OP Comp. Sc. Engg- Dev Ops,10
2020,PL Petroleum Engineering,3
2020,PT Polymer Tech.,24
2020,RO Auto. And Robot.,86
2020,SE Aero Space Engg.,240
2020,SS CS and System Engg,35
2020,ST Silk Tech.,30
2020,TC Telecommn.,212
2020,TX Textiles,46
2020,UP Planning,12
2021,"AD Artificial Intel, Data Sc",745
2021,AE Aeronaut.Engg,601
2021,AI Artificial Intelligence,2184
2021,AT Automotive Engg.,14
2021,AU Automobile,72
2021,BD CS- Big Data,34
2021,BE Bio-Electronics Engg.,23
2021,BM Bio Medical,76
2021,BR BioMed. and Robotic Engg,11
2021,BS B.Sc (Honours),112
2021,BT Bio Technology,522
