Branch,min,max,nunique
"AD Artificial Intel, Data Sc",2020,2024,5
AE Aeronaut.Engg,2020,2024,5
AI Artificial Intelligence,2020,2024,5
AM B Tech in AM,2023,2024,2
AR Architecture,2024,2024,1
AT Automotive Engg.,2020,2024,5
AU Automobile,2020,2024,5
BA B.Tech(Agri.Engg),2023,2024,2
BB B Tech in EC,2023,2024,2
BC Computer Tech.,2020,2020,1
BD CS- Big Data,2020,2022,3
BE Bio-Electronics Engg.,2020,2021,2
BF B Tech in DS,2023,2024,2
BG B Tech in AD,2023,2024,2
BH B Tech in AI,2023,2024,2
BI Information Tech.,2020,2020,1
BJ B Tech in EE,2023,2024,2
BK B Tech in EN,2023,2024,2
BL B Tech in AS,2023,2024,2
BM Bio Medical,2020,2024,5
BN B Tech in BD,2023,2024,2
BO B Tech in BT,2023,2024,2
BP B Tech in CE,2023,2024,2
BQ B Tech in CG,2023,2024,2
BR BioMed. and Robotic Engg,2021,2024,4
BS B.Sc (Honours),2021,2021,1
BT Bio Technology,2020,2024,5
BU B Tech in CI,2023,2024,2
BV B Tech in CO,2023,2024,2
BW B Tech in CS,2023,2024,2
BX B Tech in CY,2023,2024,2
BY B Tech in DO,2023,2024,2
BZ B Tech in DS,2023,2024,2
"CA CS (AI, Machine Learning)",2021,2024,4
CB Comp. Sc. and Bus Sys.,2020,2024,5
CC Computer and Comm. Engg.,2020,2024,5
CD Computer Sc. and Design,2021,2024,4
CE Civil,2020,2024,5
CF CS(Artificial Intel.),2021,2024,4
CG Computer Science and Tech,2021,2024,3
CH Chemical,2020,2024,5
CI Computer and Information,2020,2022,3
CK Civil Engg (Kannada),2021,2024,4
CL B Tech in EO,2023,2024,2
CM B Tech in EV,2023,2024,2
CN B Tech in IB,2023,2024,2
CO Computer Engineering,2020,2024,5
CQ B Tech in IO,2023,2024,2
CR Ceramics,2020,2024,5
CS Computers,2020,2024,5
CT Const. Tech. Mgmt.,2020,2024,5
CU B Tech in IS,2023,2024,2
CV Civil Environment Engg,2021,2024,4
CW B Tech in IT,2023,2024,2
CX B Tech in IY,2023,2024,2
CY CS- Cyber Security,2020,2024,5
CZ B Tech in LC,2023,2024,2
DA B Tech in MC,2023,2024,2
DB B Tech in ME,2023,2024,2
DC Data Sciences,2023,2024,2
DD B Tech in MS,2023,2024,2
DE B Tech in PE,2023,2024,2
DF B Tech in RA,2023,2024,2
DG DESIGN,2024,2024,1
DG DG,2023,2023,1
DH B Tech in RAI,2023,2024,2
DI B Tech in RE,2023,2024,2
DJ B Tech in RO,2023,2024,2
DK B Tech in SS,2023,2024,2
DL B.TECH IN CS,2023,2024,2
DM B.TECH IN CS NW,2023,2024,2
DN B.Tech in VLSI,2023,2024,2
DS Comp. Sc. Engg- Data Sc.,2020,2024,5
EA Agriculture Engineering,2021,2024,4
EB EAT,2023,2024,2
EC Electronics,2020,2024,5
EE Electrical,2020,2024,5
EG Energy Engineering,2021,2022,2
EI Elec. Inst. Engg,2020,2024,5
"EL Electronics, Instr. Tech.",2021,2024,2
EN Environmental,2020,2024,5
ER Electrical and Computer,2020,2024,3
ES Electronics and Computer,2020,2024,5
ET Elec. Telecommn.,2020,2020,1
ET Elec. Telecommn. Engg.,2021,2024,4
EV EC Engg(VLSI Design),2022,2024,3
EZ ELECTRONICS AND COMPUT,2024,2024,1
IB CS-IoT Block Chain,2022,2022,1
"IC CS-IoT, Cyber Security",2021,2024,3
"IC IoT, Cyber Security",2020,2020,1
IE Info.Science,2020,2024,5
IG Information Technology,2021,2022,2
II EC -Industrial Integrated,2020,2022,3
IM Ind. Engg. Mgmt.,2020,2024,5
IO CS- Internet of Things,2020,2024,5
IP Ind.Prodn.,2020,2024,5
IS Information Sc. and Tech.,2021,2022,2
IY CS-IT-Cyber Security,2022,2022,1
IZ INFORMATION SCIENCE,2024,2024,1
LA B Plan,2022,2024,2
LC CS- Block Chain,2020,2022,3
LD B Tech in DS,2023,2024,2
LE B Tech in AIML,2023,2024,2
LF B Tech in CC,2023,2024,2
LG B Tech in CS,2023,2024,2
LH B Tech in IS,2023,2024,2
LJ B Tech in BS,2023,2024,2
LK B Tech in IOT,2023,2024,2
MC Mathamatics and Computing,2020,2021,2
MC Mathematics and Computing,2022,2022,1
MD Med.Elect.,2020,2024,5
ME Mechanical,2020,2024,5
MI Mining Engineering,2024,2024,1
MK Mechanical Engg (Kannada),2023,2024,2
"MM Mechanical, Smart Manf.",2020,2024,5
MN Mining,2020,2020,1
MN Mining Engineering,2021,2022,2
MR Marine Engineering,2020,2024,5
MT Mechatronics,2020,2024,5
OP Comp. Sc. Engg- Dev Ops,2020,2022,3
OT Industrial IOT,2021,2024,3
PL Petroleum Engineering,2020,2022,3
PT Polymer Tech.,2020,2024,5
RA Robotics and Automation,2021,2024,4
RB Robotics,2021,2022,2
RI Robotics and AI,2021,2024,4
RM CS-RO Engg-AI and ML,2022,2022,1
RO Auto. And Robot.,2020,2024,5
SA Smart Agritech,2022,2023,2
SE Aero Space Engg.,2020,2024,5
SS CS and System Engg,2020,2022,3
ST Silk Tech.,2020,2024,5
TC Telecommn.,2020,2024,4
TI Industrial IoT,2022,2022,1
TX Textiles,2020,2024,5
UP Planning,2020,2024,5
UR Planning,2024,2024,1
YA B.TEHIN COM.SCE.ENG(ROBO),2024,2024,1
YB B.TECH IN CS.ENG(DAT ANA),2024,2024,1
YC B.TECH IN EMD. SYS. VLSI,2024,2024,1
YD B.TECH IN CS AND ARTI INT,2024,2024,1
YE B.TECH IN CIV.CONST.SUST.,2024,2024,1
YF B.TECH IN ELECT ENGG. CS.,2024,2024,1
YG B.TECH IN EC.ENG.VSLI EMD,2024,2024,1
YH ENGINEERING DESIGN,2024,2024,1
YI B.TECH IN MECHANICAL,2024,2024,1
ZA B TECH IN AERONAUT. ENGG.,2024,2024,1
ZC CSC,2023,2024,2
ZH B TECH IN COMP.SC.ART.INT,2024,2024,1
ZL CIVIL ENG. WITH COMP.APPL,2024,2024,1
ZM B.TECH IN COMP.SCI. DESI.,2024,2024,1
ZN B.TECH IN PHARM. ENGG.,2024,2024,1
ZO B.TECH IN CS.AND BUSI.SYS,2024,2024,1
ZQ B.TECH IN IN.TCH.DAT.ANAL,2024,2024,1
ZR COMP.SCE.AND ENG(ART.INT),2024,2024,1
ZT B.TECH. IN MECH.SMAR.MANU,2024,2024,1
ZU CYBER SECURITY,2024,2024,1
ZV B.TECH.IN INF.TEC.AUG.REA,2024,2024,1
ZW COMP. SCE. AND ENG (AIML),2024,2024,1
mn Mining Engineering,2023,2023,1
