Category,Cutoff_Rank
3BG,56700.0
3AG,57688.0
GMK,59640.0
3BR,61260.0
GMR,62580.0
GMH,63591.5
2BG,64012.0
1G,65184.0
2BKH,67040.0
1RH,67775.5
3BK,68072.0
3BRH,68545.0
1KH,68547.0
3AKH,68992.0
2AR,69132.0
3BH,69168.0
2AG,69697.0
GMRH,70390.75
1H,70970.0
3AR,71044.5
STRH,71520.0
2BH,72206.0
3AK,73007.0
3ARH,73064.0
2AK,73386.5
GMKH,74134.0
3AH,74305.5
3BKH,75181.25
2AH,75496.0
1R,76398.0
2BRH,77579.0
2ARH,78508.5
SCRH,78702.0
STKH,80262.0
2BR,80858.5
1K,81897.0
STH,82174.75
SCG,82455.75
2BK,83396.0
SCR,84843.5
SCK,86558.75
STR,88374.0
SCH,88826.0
STG,89344.0
SCKH,92633.0
STK,93910.0
2AKH,96513.0
GM,103951.0
