Category,Cutoff_Rank
3BR,53620.0
3AG,54438.0
3BG,55340.0
GMK,60139.0
GMH,60949.5
3AR,61101.0
GMR,63409.0
1G,63427.0
3BK,64343.0
2AK,64689.5
2BG,65704.0
2AG,66513.0
1R,67372.0
2AR,67692.0
2AH,67749.0
GM,68661.0
3BH,70793.0
GMRH,75400.0
3BRH,76661.0
2BR,78869.0
3AH,80432.0
3AK,80610.0
GMKH,81250.0
2ARH,82997.0
1H,89975.0
1K,90485.0
2BH,94625.0
2BK,94786.0
3BKH,96485.0
STG,97222.0
2AKH,102326.0
3ARH,107795.0
STR,108420.5
1RH,111840.0
STH,111982.0
1KH,113630.0
SCK,114843.5
STK,116868.0
2BKH,117074.0
SCG,118205.5
SCH,119928.0
SCKH,120499.5
SCR,121088.0
2BRH,123118.0
3AKH,127252.0
STRH,131113.5
SCRH,131864.0
STKH,144842.0
