Year,Category,Count
2020,1G,1453
2020,1H,179
2020,1K,95
2020,1KH,4
2020,1R,301
2020,1RH,19
2020,2AG,1720
2020,2AH,581
2020,2AK,363
2020,2AKH,14
2020,2AR,980
2020,2ARH,106
2020,2BG,1589
2020,2BH,182
2020,2BK,55
2020,2BKH,3
2020,2BR,233
2020,2BRH,12
2020,3AG,1602
2020,3AH,171
2020,3AK,79
2020,3AKH,2
2020,3AR,349
2020,3ARH,11
2020,3BG,1625
2020,3BH,315
2020,3BK,162
2020,3BKH,17
2020,3BR,447
2020,3BRH,41
2020,GM,3051
2020,GMH,1529
2020,GMK,1225
2020,GMKH,171
2020,GMR,1665
2020,GMRH,348
2020,SCG,1645
2020,SCH,396
2020,SCK,212
2020,SCKH,29
2020,SCR,659
2020,SCRH,64
2020,STG,1221
2020,STH,94
2020,STK,28
2020,STKH,3
2020,STR,178
2020,STRH,8
2021,1G,2219
2021,1H,316
2021,1K,105
2021,1KH,7
2021,1R,470
2021,1RH,33
2021,2AG,2605
2021,2AH,951
2021,2AK,625
2021,2AKH,36
2021,2AR,1625
2021,2ARH,155
2021,2BG,2317
2021,2BH,270
2021,2BK,55
2021,2BKH,3
2021,2BR,421
2021,2BRH,12
2021,3AG,2344
2021,3AH,185
2021,3AK,69
2021,3AKH,4
2021,3AR,479
2021,3ARH,14
2021,3BG,2398
2021,3BH,459
2021,3BK,246
2021,3BKH,15
2021,3BR,746
2021,3BRH,74
2021,GM,3502
2021,GMH,2314
2021,GMK,1885
2021,GMKH,247
2021,GMR,2566
2021,GMRH,662
2021,SCG,2548
2021,SCH,814
2021,SCK,541
2021,SCKH,49
2021,SCR,1262
2021,SCRH,143
2021,STG,1714
2021,STH,234
2021,STK,48
2021,STKH,3
2021,STR,280
2021,STRH,14
2022,1G,2335
2022,1H,344
2022,1K,156
2022,1KH,16
2022,1R,570
2022,1RH,30
2022,2AG,2837
2022,2AH,1119
2022,2AK,683
2022,2AKH,47
2022,2AR,1886
2022,2ARH,240
2022,2BG,2426
2022,2BH,340
2022,2BK,107
2022,2BKH,11
2022,2BR,469
2022,2BRH,41
2022,3AG,2453
2022,3AH,365
2022,3AK,171
2022,3AKH,19
2022,3AR,572
2022,3ARH,52
2022,3BG,2511
2022,3BH,494
2022,3BK,269
2022,3BKH,22
2022,3BR,799
2022,3BRH,88
2022,GM,3785
2022,GMH,2626
2022,GMK,2031
2022,GMKH,334
2022,GMR,2798
2022,GMRH,864
2022,SCG,2837
2022,SCH,910
2022,SCK,652
2022,SCKH,84
2022,SCR,1460
2022,SCRH,168
2022,STG,1887
2022,STH,269
2022,STK,121
2022,STKH,10
2022,STR,408
2022,STRH,50
2023,1G,2739
2023,1H,376
2023,1K,151
2023,1KH,12
2023,1R,519
2023,1RH,45
2023,2AG,3320
2023,2AH,1365
2023,2AK,846
2023,2AKH,70
2023,2AR,2062
2023,2ARH,292
2023,2BG,2771
2023,2BH,386
2023,2BK,118
2023,2BKH,6
2023,2BR,482
2023,2BRH,40
2023,3AG,2744
2023,3AH,320
2023,3AK,183
2023,3AKH,14
2023,3AR,609
2023,3ARH,49
2023,3BG,2954
2023,3BH,556
2023,3BK,255
2023,3BKH,46
2023,3BR,929
2023,3BRH,110
2023,GM,4151
2023,GMH,2693
2023,GMK,2189
2023,GMKH,323
2023,GMR,3169
2023,GMRH,855
2023,SCG,3334
2023,SCH,1274
2023,SCK,852
2023,SCKH,97
2023,SCR,1767
2023,SCRH,201
2023,STG,2780
2023,STH,532
2023,STK,198
2023,STKH,16
2023,STR,876
2023,STRH,87
2024,1G,2987
2024,1H,486
2024,1K,230
2024,1KH,22
2024,1R,697
2024,1RH,60
2024,2AG,3642
2024,2AH,1467
2024,2AK,961
2024,2AKH,102
2024,2AR,2219
2024,2ARH,327
2024,2BG,3063
2024,2BH,495
2024,2BK,178
2024,2BKH,6
2024,2BR,614
2024,2BRH,52
2024,3AG,3050
2024,3AH,450
2024,3AK,239
2024,3AKH,12
2024,3AR,773
2024,3ARH,67
2024,3BG,3299
2024,3BH,675
2024,3BK,341
2024,3BKH,40
2024,3BR,1042
2024,3BRH,135
2024,GM,4628
2024,GMH,3108
2024,GMK,2469
2024,GMKH,421
2024,GMR,3593
2024,GMRH,1001
2024,SCG,3674
2024,SCH,1495
2024,SCK,1007
2024,SCKH,147
2024,SCR,2163
2024,SCRH,325
2024,STG,3263
2024,STH,697
2024,STK,340
2024,STKH,35
2024,STR,1088
2024,STRH,149
