College_Code,Cutoff_Rank
E284,9384.0
E005,22148.25
E285,27938.5
E009,29126.75
E275,31837.75
E048,32940.5
E178,34190.0
E006,35711.5
E097,36315.0
E060,41140.0
E099,45532.0
E126,46208.5
E107,47782.0
E058,47903.5
E141,47991.25
E133,48993.0
E056,50550.25
E001,51674.75
E212,52166.5
E240,52431.25
E171,52658.0
E160,52788.25
E147,53174.0
E286,53345.0
E292,53597.0
E038,54183.0
E003,54204.0
E071,54288.0
E083,54417.0
E104,54542.25
E300,54619.5
E118,54663.75
E111,54684.5
E105,54686.0
E100,55327.0
E008,55383.25
E035,55419.75
E241,55767.0
E197,56005.0
E088,56591.75
E049,56681.5
E007,56682.5
E054,57018.0
E136,57173.25
E095,57586.0
E096,58004.0
E289,58046.5
E153,58424.5
E180,58660.0
E184,58842.0
E109,58930.0
E288,59103.0
E112,59407.0
E263,59415.5
E152,59557.0
E047,59761.0
E232,59856.5
E222,60028.5
E012,60037.5
E191,60150.25
E123,60215.5
E291,60326.5
E013,60353.0
E257,60777.0
E169,60988.25
E116,61003.0
E057,61303.0
E264,61369.0
E046,61467.5
E075,61542.0
E120,61640.5
E203,61708.5
E237,61952.0
E221,62089.75
E113,62285.5
E186,62372.5
E165,62445.5
E119,62445.5
E087,62706.5
E062,62723.5
E145,62889.0
E216,62905.5
E130,63040.0
E299,63089.0
E204,63116.75
E281,63241.75
E094,63264.0
E085,63289.0
E016,63414.25
E150,63447.25
E014,63717.5
E042,63726.0
E066,63731.25
E114,63766.5
E033,63788.0
E124,63848.0
E159,63870.0
E044,64024.0
E139,64067.0
E283,64086.75
E092,64224.75
E093,64384.5
E255,64461.75
E032,64493.25
E166,64728.0
E149,64779.0
E086,64861.5
E029,64926.0
E081,64948.75
E252,64994.0
E156,65020.0
E043,65032.0
E079,65087.0
E037,65234.0
E055,65234.0
E308,65286.5
E090,65402.0
E209,65688.75
E127,65854.0
E193,65957.0
E028,66016.75
E106,66036.25
E287,66111.25
E155,66115.5
E274,66153.0
E235,66155.0
E163,66207.0
E070,66236.75
E258,66252.0
E144,66354.0
E011,66479.0
E101,66502.5
E205,66505.5
E045,66552.5
E091,66765.0
E098,66906.5
E164,66953.25
E168,66976.0
E189,67066.25
E121,67159.0
E265,67330.75
E174,67531.5
E198,67599.25
E213,67688.0
E059,67703.0
E301,67709.5
E063,67784.0
E154,67995.75
E207,68116.0
E142,68241.5
E103,68393.25
E173,68547.0
E188,68580.0
E146,68700.5
E201,68766.0
E158,68827.0
E278,68932.0
E161,69216.5
E015,69233.5
E194,69349.0
E064,69352.0
E021,69409.0
E115,69706.0
E061,69841.5
E199,69869.75
E185,69958.0
E017,70113.5
E102,70159.0
E002,70192.0
E210,70485.25
E135,70586.5
E202,70690.5
E297,70796.0
E272,71023.25
E018,71115.0
E227,71138.0
E269,71279.5
E206,71355.0
E309,71492.75
E177,71521.25
E238,71858.5
E082,71910.0
E076,72099.5
E157,72227.0
E220,72611.0
E167,72929.0
E273,73029.75
E176,73658.5
E132,73662.0
E129,73805.0
E172,73935.0
E162,73994.0
E128,74035.25
E022,75177.75
E175,75373.5
E040,75528.5
E254,76192.75
E304,76320.0
E078,77159.0
E031,77255.5
E151,77340.0
E077,77548.5
E239,78260.5
E034,78310.5
E211,78438.5
E108,78529.0
E004,78668.0
E024,78750.0
E279,79104.25
E256,79566.5
E065,80496.75
E134,80613.5
E036,82826.25
E306,82981.5
E196,83003.25
E307,84823.0
E041,86812.5
E303,89214.5
E290,89609.0
E302,94234.5
E181,97373.0
E305,97659.0
E023,98094.75
