College_Code,median_cutoff,mean_cutoff,max_cutoff,min_cutoff,count
E284,7206.5,11149.395061728395,39670.0,2408.0,162
E005,9543.0,19045.436183790684,210249.0,93.0,3134
E009,14485.0,26070.497123130033,188291.0,450.0,1738
E048,16499.0,29349.235106721884,233949.0,498.0,3139
E006,18704.0,30746.173376432558,244479.0,476.0,3403
E141,19723.0,42365.868372943325,271337.0,1746.0,1094
E285,21402.0,31750.5375,110022.0,4726.0,240
E275,22494.0,34430.811023622045,178935.0,4241.0,762
E178,23101.0,34022.82978723404,181491.0,4700.0,893
E057,26149.0,45367.84169611307,251439.0,1638.0,1415
E001,27110.5,40501.73012367491,231875.0,1459.0,2264
E126,28849.0,43630.45901639344,248383.0,3273.0,1891
E107,29372.0,48019.5710991545,273145.0,4239.0,1301
E099,29422.0,47841.0904109589,267759.0,6191.0,1825
E056,30483.0,46061.45920745921,266254.0,2172.0,858
E008,30781.0,47804.435857805256,266598.0,2303.0,2588
E097,30802.0,45922.97709923664,235727.0,8374.0,1703
E118,31035.0,51724.72048997773,273915.0,5086.0,1796
E060,33094.0,47472.98190401259,267302.0,8533.0,1271
E007,33641.5,49008.898138833,271368.0,2043.0,3976
E105,33955.0,50561.215810995,261329.0,5527.0,2201
E016,34687.5,54104.049034749034,272833.0,3248.0,2590
E241,35217.0,50415.47508466376,271467.0,3768.0,2067
E003,35799.0,47964.56282527881,210065.0,1069.0,1345
E071,36615.0,57775.143760782055,265507.0,8096.0,1739
E212,36916.0,56817.22551481667,264204.0,11432.0,1991
E012,40894.0,57656.970631424374,273690.0,4485.0,2043
E037,41333.0,61151.42028100183,272590.0,8157.0,1637
E235,41495.0,61275.00184842884,246772.0,3428.0,1623
E082,42055.0,64309.39556749496,253082.0,8153.0,1489
E160,42434.0,63202.072172619046,265175.0,12052.0,1344
E058,42709.5,58284.63913690476,271884.0,10584.0,1344
E021,42947.5,58811.4381663113,271463.0,1064.0,1876
E034,44202.0,65951.35887360838,272785.0,8546.0,1527
E002,44555.0,66603.58513931888,272873.0,9320.0,969
E232,46562.0,64053.91889312977,274810.0,11291.0,3144
E049,47468.0,66251.45260663507,271020.0,4121.0,1266
E240,47705.5,67937.83136094674,259829.0,14913.0,1352
E133,49127.0,61403.19778481012,265507.0,16108.0,1264
E115,50166.0,69287.74738219896,272816.0,11253.0,1528
E166,51875.0,71546.70323928945,272785.0,13960.0,957
E047,52079.0,67683.45257060102,274262.0,12041.0,1381
E079,52250.0,67458.92830009497,270037.0,12439.0,2106
E103,53411.5,72554.89508196722,272652.0,13980.0,1830
E031,55876.0,75240.93389121338,274567.0,14343.0,1195
E149,57418.5,77143.74858757062,272098.0,19951.0,1416
E129,59259.0,77363.84353741497,273080.0,13082.0,1029
E011,59355.5,74098.43862007168,273690.0,14790.0,2232
E062,59837.5,73686.52197802198,266515.0,14539.0,1638
E286,59963.5,75204.43923611111,235727.0,22422.0,576
E022,61193.0,70050.54756637168,245975.0,4243.0,904
E036,63613.0,77270.56497622821,266157.0,13054.0,1262
E004,64236.0,75409.98898994735,274567.0,5829.0,2089
E091,64694.0,82189.99907407408,274525.0,19551.0,1080
