College_Code,Year,Cutoff_Rank
E001,2020,24244.0
E001,2021,20150.0
E001,2022,25274.0
E001,2023,30276.0
E001,2024,35459.0
E002,2020,38460.0
E002,2021,40505.0
E002,2022,44820.0
E002,2023,43970.0
E002,2024,79928.0
E003,2020,21594.0
E003,2021,28552.5
E003,2022,52410.5
E003,2023,51371.0
E003,2024,45147.0
E004,2020,54900.0
E004,2021,55973.0
E004,2022,67238.0
E004,2023,72850.0
E004,2024,79407.0
E005,2020,8539.0
E005,2021,9123.0
E005,2022,10542.0
E005,2023,10981.0
E005,2024,9647.0
E006,2020,19004.0
E006,2021,15044.0
E006,2022,18216.0
E006,2023,18851.0
E006,2024,22302.0
E007,2020,34986.0
E007,2021,31418.5
E007,2022,32159.0
E007,2023,32967.0
E007,2024,36284.5
E008,2020,29995.0
E008,2021,28148.0
E008,2022,29781.0
E008,2023,32642.0
E008,2024,35922.0
E009,2020,16468.5
E009,2021,12058.0
E009,2022,14265.0
E009,2023,16766.5
E009,2024,14668.0
E011,2020,47819.0
E011,2021,52280.0
E011,2022,53110.0
E011,2023,68195.5
E011,2024,70429.5
E012,2020,36891.0
E012,2021,36432.0
E012,2022,40013.0
E012,2023,44218.5
E012,2024,49904.0
E013,2020,128217.0
E013,2021,115565.5
E013,2022,100699.0
E013,2023,106444.5
E013,2024,127931.0
E014,2020,63311.0
E014,2021,73908.0
E014,2022,67102.0
E014,2023,70512.5
E014,2024,98492.0
E015,2020,125980.0
E015,2021,125059.5
E015,2022,98914.0
E015,2023,116278.0
E015,2024,161753.5
E016,2020,29771.0
E016,2021,31669.0
E016,2022,29001.0
E016,2023,39366.0
E016,2024,49419.0
E017,2020,81996.0
E017,2021,78596.0
E017,2022,62679.5
E017,2023,70676.0
E017,2024,98488.0
E018,2020,108502.0
E018,2021,84403.0
E018,2022,76916.0
E018,2023,75671.0
E018,2024,136539.5
E021,2020,34732.0
E021,2021,37478.0
E021,2022,50339.0
E021,2023,58406.0
E021,2024,61421.0
E022,2020,39880.0
