Branch,count
CS Computers,50249
EC Electronics,36645
IE Info.Science,20428
EE Electrical,14007
AI Artificial Intelligence,12655
CE Civil,12141
ME Mechanical,8831
"CA CS (AI, Machine Learning)",6053
DS Comp. Sc. Engg- Data Sc.,5632
"AD Artificial Intel, Data Sc",4858
AE Aeronaut.Engg,2651
BT Bio Technology,2360
BW B Tech in CS,2313
CD Computer Sc. and Design,2268
EI Elec. Inst. Engg,2041
CY CS- Cyber Security,1866
CB Comp. Sc. and Bus Sys.,1852
ET Elec. Telecommn. Engg.,1492
"IC CS-IoT, Cyber Security",1489
BB B Tech in EC,1278
CH Chemical,1275
SE Aero Space Engg.,1121
IM Ind. Engg. Mgmt.,962
CF CS(Artificial Intel.),869
AM B Tech in AM,728
RI Robotics and AI,707
ES Electronics and Computer,674
IO CS- Internet of Things,646
RA Robotics and Automation,564
MD Med.Elect.,552
BJ B Tech in EE,507
IP Ind.Prodn.,502
CO Computer Engineering,489
EA Agriculture Engineering,411
AU Automobile,398
CU B Tech in IS,388
EV EC Engg(VLSI Design),377
BM Bio Medical,362
BG B Tech in AD,358
BZ B Tech in DS,336
DB B Tech in ME,333
RO Auto. And Robot.,332
TC Telecommn.,300
AR Architecture,291
MT Mechatronics,271
BL B Tech in AS,268
BH B Tech in AI,247
BX B Tech in CY,247
CW B Tech in IT,245
BP B Tech in CE,219
TX Textiles,211
CG Computer Science and Tech,209
BQ B Tech in CG,205
EN Environmental,196
BU B Tech in CI,191
CC Computer and Comm. Engg.,179
CI Computer and Information,162
CL B Tech in EO,153
DH B Tech in RAI,147
ZC CSC,144
IG Information Technology,144
CQ B Tech in IO,143
BV B Tech in CO,140
LE B Tech in AIML,125
ST Silk Tech.,118
PT Polymer Tech.,117
DL B.TECH IN CS,114
DC Data Sciences,114
BS B.Sc (Honours),112
"EL Electronics, Instr. Tech.",111
ET Elec. Telecommn.,108
SS CS and System Engg,107
CM B Tech in EV,106
II EC -Industrial Integrated,102
CX B Tech in IY,101
MR Marine Engineering,98
BD CS- Big Data,95
"MM Mechanical, Smart Manf.",95
BR BioMed. and Robotic Engg,90
BO B Tech in BT,89
IS Information Sc. and Tech.,88
DK B Tech in SS,79
DM B.TECH IN CS NW,78
CN B Tech in IB,78
CZ B Tech in LC,77
BN B Tech in BD,77
BY B Tech in DO,76
EB EAT,75
OP Comp. Sc. Engg- Dev Ops,74
CT Const. Tech. Mgmt.,74
DN B.Tech in VLSI,68
LC CS- Block Chain,67
DF B Tech in RA,65
ZO B.TECH IN CS.AND BUSI.SYS,64
DD B Tech in MS,60
UP Planning,60
DI B Tech in RE,59
ER Electrical and Computer,59
ZW COMP. SCE. AND ENG (AIML),56
LD B Tech in DS,56
ZR COMP.SCE.AND ENG(ART.INT),55
LG B Tech in CS,55
AT Automotive Engg.,55
BF B Tech in DS,54
LK B Tech in IOT,54
RB Robotics,48
DA B Tech in MC,43
OT Industrial IOT,43
DE B Tech in PE,42
ZM B.TECH IN COMP.SCI. DESI.,42
IZ INFORMATION SCIENCE,41
DJ B Tech in RO,41
BE Bio-Electronics Engg.,39
BA B.Tech(Agri.Engg),38
DG DESIGN,37
IY CS-IT-Cyber Security,37
CV Civil Environment Engg,37
LF B Tech in CC,36
ZA B TECH IN AERONAUT. ENGG.,35
ZH B TECH IN COMP.SC.ART.INT,35
LH B Tech in IS,34
YD B.TECH IN CS AND ARTI INT,33
PL Petroleum Engineering,33
RM CS-RO Engg-AI and ML,32
YB B.TECH IN CS.ENG(DAT ANA),32
IB CS-IoT Block Chain,30
LJ B Tech in BS,30
ZU CYBER SECURITY,30
BC Computer Tech.,28
YF B.TECH IN ELECT ENGG. CS.,28
YA B.TEHIN COM.SCE.ENG(ROBO),28
EZ ELECTRONICS AND COMPUT,28
YG B.TECH IN EC.ENG.VSLI EMD,27
ZQ B.TECH IN IN.TCH.DAT.ANAL,26
ZV B.TECH.IN INF.TEC.AUG.REA,26
DG DG,23
CR Ceramics,23
YC B.TECH IN EMD. SYS. VLSI,22
LA B Plan,22
MC Mathamatics and Computing,21
YI B.TECH IN MECHANICAL,21
mn Mining Engineering,21
YH ENGINEERING DESIGN,20
BI Information Tech.,19
SA Smart Agritech,18
MI Mining Engineering,18
MN Mining Engineering,16
BK B Tech in EN,15
MC Mathematics and Computing,15
ZN B.TECH IN PHARM. ENGG.,14
CK Civil Engg (Kannada),13
ZT B.TECH. IN MECH.SMAR.MANU,13
TI Industrial IoT,12
ZL CIVIL ENG. WITH COMP.APPL,11
MK Mechanical Engg (Kannada),10
YE B.TECH IN CIV.CONST.SUST.,10
EG Energy Engineering,6
"IC IoT, Cyber Security",2
UR Planning,1
MN Mining,1
