College_Code,Branch,Category,College_Tier,Round,Year,Exam_Type,Cutoff_Rank
E005,CS Computers,GM,1,1,2021,KCET,93.0
E005,CS Computers,GM,1,1,2020,KCET,98.0
E005,CS Computers,GMH,1,1,2020,KCET,117.0
E005,CS Computers,GM,1,2,2020,KCET,136.0
E005,IE Info.Science,GM,1,1,2021,KCET,158.0
E005,CS Computers,GM,1,2,2021,KCET,158.0
E005,CS Computers,GM,1,1,2022,KCET,158.0
E005,CS Computers,GM,1,3,2020,KCET,183.0
E005,CS Computers,GMH,1,1,2021,KCET,193.0
E005,CS Computers,3AG,1,1,2021,KCET,201.0
E005,AI Artificial Intelligence,GM,1,1,2021,KCET,209.0
E005,IE Info.Science,GM,1,2,2021,KCET,240.0
E005,IE Info.Science,GM,1,1,2020,KCET,244.0
E005,CS Computers,GMR,1,1,2021,KCET,264.0
E005,IE Info.Science,GM,1,2,2020,KCET,264.0
E005,CS Computers,3AG,1,2,2021,KCET,267.0
E005,IE Info.Science,GM,1,1,2022,KCET,268.0
E005,AI Artificial Intelligence,GM,1,2,2021,KCET,274.0
E005,CS Computers,3BG,1,1,2021,KCET,275.0
E005,CS Computers,GMH,1,2,2021,KCET,275.0
E005,DS Comp. Sc. Engg- Data Sc.,GM,1,1,2022,KCET,287.0
E005,IE Info.Science,GMH,1,1,2021,KCET,298.0
E005,IE Info.Science,GMH,1,2,2021,KCET,298.0
E005,AI Artificial Intelligence,GMH,1,1,2021,KCET,300.0
E005,CS Computers,3BG,1,1,2020,KCET,308.0
E005,CS Computers,GM,1,2,2022,KCET,309.0
E005,CS Computers,GM,1,3,2021,KCET,315.0
E005,IE Info.Science,GM,1,3,2020,KCET,317.0
E005,CS Computers,3BG,1,2,2021,KCET,319.0
E005,CS Computers,3BR,1,1,2021,KCET,321.0
E005,IE Info.Science,3BG,1,1,2021,KCET,333.0
E005,AI Artificial Intelligence,GM,1,1,2022,KCET,336.0
E005,CS Computers,GMH,1,2,2020,KCET,340.0
E005,CS Computers,3BG,1,3,2020,KCET,341.0
E005,CS Computers,3BG,1,2,2020,KCET,341.0
E005,CS Computers,GMR,1,2,2021,KCET,353.0
E005,IE Info.Science,GMR,1,1,2021,KCET,353.0
E005,IE Info.Science,GM,1,2,2022,KCET,354.0
E005,IE Info.Science,3AG,1,1,2021,KCET,362.0
E005,IE Info.Science,GMR,1,2,2021,KCET,362.0
