count,count
CS Computers,50249
EC Electronics,36645
IE Info.Science,20428
EE Electrical,14007
AI Artificial Intelligence,12655
CE Civil,12141
ME Mechanical,8831
"CA CS (AI, Machine Learning)",6053
DS Comp. Sc. Engg- Data Sc.,5632
"AD Artificial Intel, Data Sc",4858
AE Aeronaut.Engg,2651
BT Bio Technology,2360
BW B Tech in CS,2313
CD Computer Sc. and Design,2268
EI Elec. Inst. Engg,2041
CY CS- Cyber Security,1866
CB Comp. Sc. and Bus Sys.,1852
ET Elec. Telecommn. Engg.,1492
"IC CS-IoT, Cyber Security",1489
BB B Tech in EC,1278
CH Chemical,1275
SE Aero Space Engg.,1121
IM Ind. Engg. Mgmt.,962
CF CS(Artificial Intel.),869
AM B Tech in AM,728
RI Robotics and AI,707
ES Electronics and Computer,674
IO CS- Internet of Things,646
RA Robotics and Automation,564
MD Med.Elect.,552
BJ B Tech in EE,507
IP Ind.Prodn.,502
CO Computer Engineering,489
EA Agriculture Engineering,411
AU Automobile,398
CU B Tech in IS,388
EV EC Engg(VLSI Design),377
BM Bio Medical,362
BG B Tech in AD,358
BZ B Tech in DS,336
DB B Tech in ME,333
RO Auto. And Robot.,332
TC Telecommn.,300
MT Mechatronics,271
BL B Tech in AS,268
BX B Tech in CY,247
BH B Tech in AI,247
CW B Tech in IT,245
BP B Tech in CE,219
TX Textiles,211
