Branch,Year,median,count,branch_median_prev,branch_pop_prev
"AD Artificial Intel, Data Sc",2020,47707.0,75,,0
"AD Artificial Intel, Data Sc",2021,68681.0,745,47707.0,75
"AD Artificial Intel, Data Sc",2022,68368.0,1163,58194.0,820
"AD Artificial Intel, Data Sc",2023,69932.5,1402,68368.0,1983
"AD Artificial Intel, Data Sc",2024,95034.0,1473,68524.5,3385
AE Aeronaut.Engg,2020,55229.0,405,,0
AE Aeronaut.Engg,2021,77899.0,601,55229.0,405
AE Aeronaut.Engg,2022,93872.0,449,66564.0,1006
AE Aeronaut.Engg,2023,101329.0,627,77899.0,1455
AE Aeronaut.Engg,2024,105610.0,569,85885.5,2082
AI Artificial Intelligence,2020,49095.0,979,,0
AI Artificial Intelligence,2021,56997.0,2184,49095.0,979
AI Artificial Intelligence,2022,62381.0,2815,53046.0,3163
AI Artificial Intelligence,2023,61055.0,3125,56997.0,5978
AI Artificial Intelligence,2024,80745.0,3552,59026.0,9103
AM B Tech in AM,2023,36558.0,314,,0
AM B Tech in AM,2024,42333.5,414,36558.0,314
AT Automotive Engg.,2020,152282.0,3,,0
AT Automotive Engg.,2021,157943.0,14,152282.0,3
AT Automotive Engg.,2022,104261.0,11,155112.5,17
AT Automotive Engg.,2023,134343.0,14,152282.0,28
AT Automotive Engg.,2024,142558.0,13,143312.5,42
AU Automobile,2020,101216.0,89,,0
AU Automobile,2021,121048.0,72,101216.0,89
AU Automobile,2022,120434.0,62,111132.0,161
AU Automobile,2023,144346.0,65,120434.0,223
AU Automobile,2024,165388.0,110,120741.0,288
BA B.Tech(Agri.Engg),2023,94711.0,17,,0
BA B.Tech(Agri.Engg),2024,110023.0,21,94711.0,17
BB B Tech in EC,2023,64150.0,553,,0
BB B Tech in EC,2024,84726.0,725,64150.0,553
BC Computer Tech.,2020,55220.0,28,,0
BD CS- Big Data,2020,107065.0,26,,0
BD CS- Big Data,2021,55355.0,34,107065.0,26
BD CS- Big Data,2022,78636.0,35,81210.0,60
BE Bio-Electronics Engg.,2020,86974.5,16,,0
BE Bio-Electronics Engg.,2021,81992.0,23,86974.5,16
BF B Tech in DS,2023,97937.0,15,,0
BF B Tech in DS,2024,121960.0,39,97937.0,15
BG B Tech in AD,2023,32579.0,57,,0
