College_Code,Year,median,count,college_median_prev,college_pop_prev,college_trend_prev3_slope
E001,2020,24244.0,366,,0,
E001,2021,20150.0,453,24244.0,366,
E001,2022,25274.0,447,22197.0,819,-4094.000000001853
E001,2023,30276.0,495,24244.0,1266,514.9999999992523
E001,2024,35459.0,503,24759.0,1761,5062.9999999994425
E002,2020,38460.0,205,,0,
E002,2021,40505.0,203,38460.0,205,
E002,2022,44820.0,181,39482.5,408,2045.0000000009397
E002,2023,43970.0,175,40505.0,589,3179.9999999995835
E002,2024,79928.0,205,42237.5,764,1732.4999999999618
E003,2020,21594.0,268,,0,
E003,2021,28552.5,266,21594.0,268,
E003,2022,52410.5,260,25073.25,534,6958.500000003163
E003,2023,51371.0,266,28552.5,794,15408.249999997508
E003,2024,45147.0,285,39961.75,1060,11409.249999999496
E004,2020,54900.0,391,,0,
E004,2021,55973.0,425,54900.0,391,
E004,2022,67238.0,396,55436.5,816,1073.000000000494
E004,2023,72850.0,419,55973.0,1212,6168.999999998732
E004,2024,79407.0,458,61605.5,1631,8438.499999999241
E005,2020,8539.0,531,,0,
E005,2021,9123.0,570,8539.0,531,
E005,2022,10542.0,655,8831.0,1101,584.0000000002676
E005,2023,10981.0,695,9123.0,1756,1001.499999999858
E005,2024,9647.0,683,9832.5,2451,928.9999999999266
E006,2020,19004.0,531,,0,
E006,2021,15044.0,689,19004.0,531,
E006,2022,18216.0,691,17024.0,1220,-3960.000000001796
E006,2023,18851.0,701,18216.0,1911,-394.00000000051756
E006,2024,22302.0,791,18533.5,2612,1903.4999999998656
E007,2020,34986.0,663,,0,
E007,2021,31418.5,694,34986.0,663,
E007,2022,32159.0,768,33202.25,1357,-3567.5000000016084
E007,2023,32967.0,897,32159.0,2125,-1413.500000000219
E007,2024,36284.5,954,32563.0,3022,774.2499999999123
E008,2020,29995.0,422,,0,
E008,2021,28148.0,433,29995.0,422,
E008,2022,29781.0,549,29071.5,855,-1847.000000000836
E008,2023,32642.0,574,29781.0,1404,-107.00000000025871
E008,2024,35922.0,610,29888.0,1978,2246.999999999715
E009,2020,16468.5,346,,0,
E009,2021,12058.0,305,16468.5,346,
E009,2022,14265.0,345,14263.25,651,-4410.500000002003
E009,2023,16766.5,364,14265.0,996,-1101.7500000004216
E009,2024,14668.0,378,15366.75,1360,2354.249999999732
E011,2020,47819.0,317,,0,
E011,2021,52280.0,450,47819.0,317,
E011,2022,53110.0,419,50049.5,767,4461.000000002028
E011,2023,68195.5,518,52280.0,1186,2645.500000000069
E011,2024,70429.5,528,52695.0,1704,7957.749999998685
E012,2020,36891.0,320,,0,
E012,2021,36432.0,315,36891.0,320,
E012,2022,40013.0,413,36661.5,635,-459.00000000020765
E012,2023,44218.5,434,36891.0,1048,1560.9999999995682
E012,2024,49904.0,561,38452.0,1482,3893.2499999995503
E013,2020,128217.0,9,,0,
E013,2021,115565.5,86,128217.0,9,
E013,2022,100699.0,125,121891.25,95,-12651.500000005726
E013,2023,106444.5,178,115565.5,220,-13758.999999998754
E013,2024,127931.0,187,111005.0,398,-4560.500000000112
E014,2020,63311.0,202,,0,
E014,2021,73908.0,294,63311.0,202,
E014,2022,67102.0,355,68609.5,496,10597.000000004798
E014,2023,70512.5,362,67102.0,851,1895.5000000011921
E014,2024,98492.0,366,68807.25,1213,-1697.75000000012
E015,2020,125980.0,62,,0,
E015,2021,125059.5,110,125980.0,62,
E015,2022,98914.0,130,125519.75,172,-920.5000000003963
E015,2023,116278.0,184,125059.5,302,-13532.999999997006
E015,2024,161753.5,204,120668.75,486,-4390.750000000833
E016,2020,29771.0,459,,0,
E016,2021,31669.0,465,29771.0,459,
E016,2022,29001.0,484,30720.0,924,1898.0000000008645
E016,2023,39366.0,571,29771.0,1408,-384.9999999996222
E016,2024,49419.0,611,30720.0,1979,3848.499999999184
E017,2020,81996.0,159,,0,
E017,2021,78596.0,251,81996.0,159,
E017,2022,62679.5,284,80296.0,410,-3400.000000001541
E017,2023,70676.0,387,78596.0,694,-9658.249999998283
E017,2024,98488.0,437,74636.0,1081,-3960.0000000002915
E018,2020,108502.0,75,,0,
E018,2021,84403.0,143,108502.0,75,
E018,2022,76916.0,138,96452.5,218,-24099.000000010954
E018,2023,75671.0,557,84403.0,356,-15793.000000000045
E018,2024,136539.5,190,80659.5,913,-4365.999999999707
E021,2020,34732.0,579,,0,
E021,2021,37478.0,384,34732.0,579,
E021,2022,50339.0,415,36105.0,963,2746.0000000012546
E021,2023,58406.0,35,37478.0,1378,7803.499999998617
E021,2024,61421.0,463,43908.5,1413,10463.999999998989
E022,2020,39880.0,135,,0,
E022,2021,58805.0,268,39880.0,135,
E022,2022,71773.0,163,49342.5,403,18925.000000008604
