College_Code,College_Name,Branch,Category,Cutoff_Rank,AG-Agriculture  Engineering,AI-Artificial  Intelligence &  Machine Learning,AL-Agricultural  Engineering,AR-Automation &  Robotics  Engineering,AS-Aerospace  Engineering,AU-Automobile  Engineering,Year,Round,Table_Number,BM-Bio-Medical  Engineering,BP-Bachelor of  Urban & Regional  Planning,BT-Bio-technology,CA-Computer  Science &  Engineering  (Artificial  Intelligence),CB-Computer  Science &  Business Systems,CBD-Computer  Science &  Technology (Big  Data),CCS-Civil  Construction &  Sustainability  Engineering,CD-Computer  Science &  Engineering (Data  Science),CE-Computer  Engineering,CG-Computer  Science & Design,CH-Chemical  Engineering,CI-Computer  Science &  Engineering  (Artificial  Intelligence &  Machine Learning),CNW-Computer  Science &  Engineering  (Networks),CO-Computer  Science &  Engineering (IOT),COS-Computer  Science,CS-Computer  Science &  Engineering,CSD-Computer  Science &  Technology  (Devops),CST-Computer  Science &  Technology,CY-Computer  Science &  Engineering  (Cyber Security),DS-Data Science,ECE-Electrical &  Computer  Engineering,EC-Electronics &  Comm-unication  Engineering,EE-Electrical &  Electronics  Engineering,EIE-Electronics &  Instrument-ation  Engineering (Inst.  Technology),ET-Electronics &  Telecommu- nication  Engineering,IAR - Information  Technology  (Augmented  Reality & Virtual  Reality (AR / VR),IC-Computer  Science &  Engineering (IOT &  Cyber Security  Including Block  Chain Technology),IDA -Information  Technology (Data  Analytics),IM-Industrial  Engineering &  Management,INT-Information  Technology,IST-Information  Science &  Technology,MAE-Mechanical  & Aerospace  Enginnering,MD-Medical  Electronics  Engineering,ME-Mechanical  Engineering,MR-Marine  Engineering,MT-Mecha-tronics  Engineering,RI-Robotics &  Artificial  Intelligence,TX-Textile  Technology,UE-Electronics &  Computer  Engineering,VL-Electronics  Engineering (VLSI  Design &  Technology),VLS-VLSI,Exam_Type,AI-Artificial  Intelligence &  Machine  Learning,AR-Automation  & Robotics  Engineering,BT- Biotechnology,CD-Computer  Science &  Engineering  (Data Science),CV-Civil  Engineering,EI-Electronics &  Instrumentation  Engineering,ET-Electronics &  Tele- communication  Engineering,IS-Information  Science &  Engineering,BD-Bachelor of  Design,BP-Bachelor of  Urban &  Regional  Planning,CC-Ceramic And  Cement  Technology,CCA-Civil  Engineering with  Computer  Application,CCS-CIVIL  CONSTRUCTION  &  SUSTAINABILITY  ENGINEERING,CI-Computer  Science &  Engineering  (Artificial  Intelligence &  Machine  Learning),CK-Civil  Engineering  (Kannada),CM-Computer &  Communication  Engineering,CU-Cyber  Security,EC-Electronics &  Communication  Engineering,EIE-Electronics &  Instrumentation  Engineering (Inst.  Technology),ES-Electronics &  Computer  Science,IC-Computer  Science &  Engineering (IOT  & Cyber Security  Including Block  Chain  Technology),IDA -Information  Technology  (Data Analytics),IP-Industrial &  Production  Engineering,MAE- MECHANICAL &  AEROSPACE  ENGINEERING,MT- Mechatronics  Engineering,AG- Agriculture  Engineering,AL- Agricultural  Engineering,AR- Automation &  Robotics  Engineering,BD-Bachelor  of Design,BM-Bio- Medical  Engineering,BP-Bachelor  of Urban &  Regional  Planning,BT-Bio- technology,CC-Ceramic  And Cement  Technology,CCA-Civil  Engineering  with  Computer  Application,CM-Computer  & Comm- unication  Engineering,CNW- Computer  Science &  Engineering  (Networks),CO-Computer  Science &  Engineering  (IOT),CY-Computer  Science &  Engineering  (Cyber  Security),ECE-Electrical  & Computer  Engineering,EIE-Electronics  & Instrument- ation  Engineering  (Inst.  Technology),EI-Electronics  & Instrument- ation  Engineering,ES-Electronics  & Computer  Science,IC-Computer  Science &  Engineering  (IOT & Cyber  Security  Including  Block Chain  Technology),IDA - Information  Technology  (Data  Analytics),INT- Information  Technology,MAE- Mechanical &  Aerospace  Engineering,ME- Mechanical  Engineering,MT-Mecha- tronics  Engineering,UE-Electronics  & Computer  Engineering,VL-Electronics  Engineering  (VLSI Design &  Technology)
E001,"Acharya Institute of Technology-Soladevanahalli, Bengaluru",GM,,21963.0,,,,,,,2024,1,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54924,,58876,,,,,,COMEDK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E001,"Acharya Institute of Technology-Soladevanahalli, Bengaluru",GM,,30316.0,,18743,,,,,2024,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMEDK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E001,"Acharya Institute of Technology-Soladevanahalli, Bengaluru",GM,,58244.0,,,,,,,2024,1,57,,,,,,,,,,,,,,,,,,,,,,23183,31072,,,,,,,,,,,,,,,,,,,COMEDK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E001,"Acharya Institute of Technology-Soladevanahalli, Bengaluru",KKR,,47020.0,,,,,,,2024,1,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMEDK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E001,"Acharya Institute of Technology-Soladevanahalli, Bengaluru",KKR,,69087.0,,39916,,,,,2024,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMEDK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E001,"Acharya Institute of Technology-Soladevanahalli, Bengaluru",KKR,,93817.0,,,,,,,2024,1,57,,,,,,,,,,,,,,,,,,,,,,63631,87923,,,,,,,,,,,,,,,,,,,COMEDK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E003,"A.C.S. College of Engineering-Kambipura Mysore Road, Bengaluru",GM,,62967.0,,,,,33264,,2024,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMEDK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E003,"A.C.S. College of Engineering-Kambipura Mysore Road, Bengaluru",KKR,,98722.0,,,,,69992,,2024,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMEDK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E004,"Adichunchanagiri Institute Of Technology-Jyothi Nagara, Chikkamagaluru",GM,,98081.0,,,,,,,2024,1,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66323,,,,,,,,COMEDK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E005,"Akash Institute of Engineering and Technology-Devanahalli, Bengaluru Rural",GM,,38461.0,,,,,,,2024,1,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMEDK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E006,"Alvas Institute of Engineering and Technology-Moodbidri, Mangaluru",GM,,52192.0,,,,,,,2024,1,57,,,,,,,,,,,,,,,,,,,,,,98313,,,,,,,,,,,,,,,,,,,,COMEDK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E006,"Alvas Institute of Engineering and Technology-Moodbidri, Mangaluru",GM,,99748.0,,,,,,,2024,1,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,COMEDK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
