College_Code,College_Name,Branch_Code,Branch_Name,Category,Cutoff_Rank,Year,Round,Table_Number
,,AD Artificial,4050,,1447.0,2024,1,10
,,AD Artificial,2690,,2455.0,2024,1,2
,,AD Artificial,2690,,3232.0,2024,1,2
,,AD Artificial,4050,,3371.0,2024,1,10
,,AD Artificial,--,,3716.0,2024,1,2
,,AD Artificial,4050,,3743.0,2024,1,10
,,AD Artificial,2690,,3791.0,2024,1,2
,,AD Artificial,--,,4430.0,2024,1,2
,,AD Artificial,--,,4643.0,2024,1,2
,,AD Artificial,--,,4643.0,2024,1,2
,,AD Artificial,4050,,4850.0,2024,1,10
,,AD Artificial,--,,5357.0,2024,1,2
,,AD Artificial,2690,,5397.0,2024,1,2
,,AD Artificial,4050,,5504.0,2024,1,10
,,AD Artificial,2690,,5701.0,2024,1,2
,,AD Artificial,2690,,5711.0,2024,1,2
,,AD Artificial,--,,5819.0,2024,1,10
,,AD Artificial,4050,,7230.0,2024,1,10
,,AD Artificial,--,,7283.0,2024,1,2
,,AD Artificial,--,,7693.0,2024,1,10
,,AD Artificial,15576,,9823.0,2024,1,5
,,AD Artificial,15576,,10266.0,2024,1,5
,,AD Artificial,15576,,10399.0,2024,1,5
,,AD Artificial,15576,,10823.0,2024,1,5
,,AD Artificial,--,,11136.0,2024,1,5
,,AD Artificial,17061,,11627.0,2024,1,20
,,AD Artificial,17061,,12022.0,2024,1,20
,,AD Artificial,--,,12558.0,2024,1,5
,,AD Artificial,--,,12619.0,2024,1,20
,,AD Artificial,17061,,12865.0,2024,1,20
,,AD Artificial,15576,,13253.0,2024,1,5
,,AD Artificial,--,,13344.0,2024,1,20
,,AD Artificial,2690,,13531.0,2024,1,2
,,AD Artificial,--,,13534.0,2024,1,5
,,AD Artificial,--,,13640.0,2024,1,5
,,AD Artificial,15576,,13930.0,2024,1,5
,,AD Artificial,17061,,14059.0,2024,1,20
,,AD Artificial,4050,,14441.0,2024,1,10
,,AD Artificial,17061,,14529.0,2024,1,20
,,AD Artificial,--,,16531.0,2024,1,20
,,AD Artificial,15576,,16866.0,2024,1,5
,,AD Artificial,--,,16866.0,2024,1,5
,,AD Artificial,--,,18120.0,2024,1,10
,,AD Artificial,15576,,18124.0,2024,1,5
,,AD Artificial,--,,18359.0,2024,1,5
,,AD Artificial,20379,,18874.0,2024,1,18
,,AD Artificial,--,,18910.0,2024,1,18
,,AD Artificial,15576,,18983.0,2024,1,5
,,AD Artificial,--,,19762.0,2024,1,20
,,AD Artificial,2690,,20373.0,2024,1,2
,,AD Artificial,--,,20664.0,2024,1,20
,,AD Artificial,--,,24977.0,2024,1,18
,,AD Artificial,4050,,25239.0,2024,1,10
,,AD Artificial,--,,25283.0,2024,1,18
