college_code,college_name,branch_code,branch_name,1G,1K,1R,2AG,2AK,2AR,2BG,2BK,2BR,3AG,3AK,3AR
E001,University of Visvesvaraya College of Engineering  Bangalore ( PUB,AI,Artificial Intelligence,9551.0,,,7993.0,,8818.0,8515.0,,,4853.0,,
E001,University of Visvesvaraya College of Engineering  Bangalore ( PUB,CE,Civil Engineering,69263.0,,,69941.0,81714.0,78519.0,86550.0,,100108.0,6591.0,,
E001,University of Visvesvaraya College of Engineering  Bangalore ( PUB,CS,Computer Science,7386.0,,8208.0,6524.0,7849.0,7538.0,7208.0,,11686.0,3728.0,,
E001,University of Visvesvaraya College of Engineering  Bangalore ( PUB,EC,Electronics,10362.0,,16634.0,11077.0,16068.0,13037.0,13625.0,,15869.0,7689.0,,
E001,University of Visvesvaraya College of Engineering  Bangalore ( PUB,EE,Electrical,28034.0,43342.0,29282.0,28640.0,29180.0,33108.0,38319.0,,,2352.0,,
E001,University of Visvesvaraya College of Engineering  Bangalore ( PUB,IE,Information Science,7835.0,,,7733.0,,8952.0,11745.0,30724.0,,5007.0,,
E001,University of Visvesvaraya College of Engineering  Bangalore ( PUB,ME,Mechanical,62431.0,,66058.0,71359.0,71843.0,73419.0,69452.0,,79777.0,4977.0,,
E002,S K S J T Institute of Engineering.  Bangalore,CE,Civil Engineering,96044.0,,,97935.0,,,9351.0,,,,,
E002,S K S J T Institute of Engineering.  Bangalore,CS,Computer Science,17116.0,,17847.0,21359.0,,22953.0,23474.0,,41540.0,1402.0,,
E002,S K S J T Institute of Engineering.  Bangalore,EC,Electronics,34152.0,,,33027.0,,35187.0,52842.0,,,2621.0,,
E002,S K S J T Institute of Engineering.  Bangalore,ST,Silk Technology,154144.0,,,127545.0,,139633.0,,,,,,
E002,S K S J T Institute of Engineering.  Bangalore,TX,Textiles,150513.0,,,,15168.0,,,,,,,
E003,"B M S College of Engineering  Basavanagudi,Bangalore",CE,Civil Engineering,56425.0,,,47288.0,,55230.0,73226.0,,,3510.0,,
E003,"B M S College of Engineering  Basavanagudi,Bangalore",EC,Electronics,7389.0,,11264.0,5099.0,,6916.0,6731.0,,,2260.0,,
E003,"B M S College of Engineering  Basavanagudi,Bangalore",EE,Electrical,8704.0,,39563.0,17586.0,25985.0,23820.0,22650.0,,,8152.0,,
E003,"B M S College of Engineering  Basavanagudi,Bangalore",ME,Mechanical,27614.0,,,36226.0,,47963.0,46818.0,,,2071.0,,
E004,Dr. Ambedkar Institute Of Technology  Bangalore,CE,Civil Engineering,109783.0,,,,,9532.0,,,,,,
E004,Dr. Ambedkar Institute Of Technology  Bangalore,CS,Computer Science,13052.0,20322.0,,12334.0,,13099.0,11117.0,,,1030.0,,
E004,Dr. Ambedkar Institute Of Technology  Bangalore,EC,Electronics,25946.0,,,24090.0,26864.0,26000.0,35616.0,,52075.0,1905.0,,
E004,Dr. Ambedkar Institute Of Technology  Bangalore,EE,Electrical,45773.0,,60136.0,39832.0,41992.0,47654.0,47260.0,,,3302.0,,
E004,Dr. Ambedkar Institute Of Technology  Bangalore,ME,Mechanical,112406.0,,,120787.0,8787.0,,,,,,,
E005,R. V. College of Engineering  Bangalore,AI,Artificial Intelligence,,,,,,,,,,,,
E005,R. V. College of Engineering  Bangalore,BT,Biotechnology,19438.0,,,12939.0,23528.0,25716.0,,,,1367.0,,
E005,R. V. College of Engineering  Bangalore,CS,Computer Science,1387.0,,,1341.0,,1348.0,2133.0,,,945.0,,
E005,R. V. College of Engineering  Bangalore,CE,Civil Engineering,27080.0,,,28348.0,,34312.0,12999.0,,,,,
E005,R. V. College of Engineering  Bangalore,CH,Chemical,,57365.0,,16779.0,,,30556.0,,43596.0,1285.0,,
E005,R. V. College of Engineering  Bangalore,CS,Computer Science,636.0,,3282.0,938.0,3982.0,1009.0,1068.0,,,563.0,,
E007,Dayananda Sagar College of Engineering  Bangalore,EC,Electronics,13230.0,,13985.0,14608.0,18347.0,15680.0,15639.0,,43425.0,9542.0,,
E007,Dayananda Sagar College of Engineering  Bangalore,EE,Electrical,22396.0,,,27085.0,,36139.0,50167.0,,,2212.0,,
E007,Dayananda Sagar College of Engineering  Bangalore,IE,Information Science,11499.0,,,8763.0,11816.0,10409.0,11724.0,,,6302.0,,
