feature,importance
Category_Score,15.738724990021119
College_Branch_target_enc,15.50346663516283
Historical_Mean_Percentile,14.174660357548968
Historical_Mean_Primary,12.008699827539953
cutoff_lag1Y_L1Y,9.253100693047212
Branch_Popularity,4.90105502306068
Historical_Std_Raw,4.413023536021352
Round,4.134432259208325
College_Code_target_enc,3.227595514746371
branch_prevY_mean_L1Y,2.837207025704612
college_prevY_allbranches_mean_L1Y,2.2209541088582525
Years_Since_2020,2.0082932761833243
n_rounds_hist_L1R,1.6227249494180391
Year_Squared,1.3899130795855672
Year,1.2903856488970502
Historical_Count_Raw,1.0657623653259698
cutoff_lag2Y_L2Y,0.8974295363029144
cutoff_roll2R_std_L1R,0.5826910799636914
cutoff_lag1R_L1R,0.5644728266931377
cutoff_roll2R_mean_L1R,0.5256029707848867
College_Tier_Numeric,0.518181950601451
Volatility_Category,0.3898818642019304
Program_Maturity,0.3530873846799632
Exam_Type,0.20636618597979361
Is_Established,0.0993092405180658
is_first_round_L1R,0.07297766994454423
Is_Recent,0.0
is_low_history_L1Y,0.0
cutoff_roll3Y_mean_L1Y,0.0
trend3Y_slope_L1Y,0.0
n_years_hist_L1Y,0.0
cutoff_roll3Y_std_L1Y,0.0
