iter	RMSE
0	45106.06468
1	45026.56803
2	44948.05334
3	44871.32158
4	44796.00937
5	44721.68631
6	44648.73449
7	44578.29254
8	44509.81183
9	44441.03287
10	44373.12827
11	44306.48211
12	44241.48377
13	44180.44125
14	44117.36498
15	44056.76328
16	43996.09434
17	43938.38138
18	43880.15803
19	43823.02443
20	43768.08586
21	43713.12527
22	43659.18884
23	43606.87294
24	43554.28777
25	43504.39795
26	43455.61413
27	43405.842
28	43350.08049
29	43295.35774
30	43241.10989
31	43189.50887
32	43137.77417
33	43085.91085
34	43035.15994
35	42987.44346
36	42938.1472
37	42890.94942
38	42844.75361
39	42800.26263
40	42755.73333
41	42712.02721
42	42670.28925
43	42627.20732
44	42585.82634
45	42544.45706
46	42511.76597
47	42472.353
48	42433.67478
49	42395.88537
50	42358.97497
51	42321.53993
52	42286.98287
53	42251.27914
54	42216.13957
55	42182.60131
56	42150.61118
57	42118.32836
58	42085.83924
59	42054.66362
60	42024.10993
61	41993.06451
62	41962.62203
63	41932.62335
64	41905.22432
65	41876.79019
66	41849.42923
67	41822.80522
68	41795.94416
69	41771.92638
70	41746.54346
71	41721.88174
72	41698.41667
73	41674.64406
74	41650.18365
75	41626.31816
76	41626.31816
77	41603.53981
78	41581.35165
79	41559.81757
80	41538.46856
81	41517.63971
82	41497.8181
83	41477.7683
84	41458.45595
85	41438.59465
86	41420.00886
87	41402.14906
88	41384.68878
89	41366.65825
90	41349.8315
91	41332.06202
92	41315.49467
93	41298.39383
94	41281.99025
95	41265.24561
96	41250.29349
97	41234.76236
98	41219.21116
99	41203.96837
100	41189.51424
101	41174.8526
102	41160.88155
103	41146.67048
104	41133.40133
105	41119.83883
106	41107.08596
107	41093.6549
108	41081.18049
109	41069.18363
110	41057.70019
111	41045.83752
112	41033.69772
113	41022.60127
114	41011.17603
115	40999.96607
116	40988.54339
117	40978.68411
118	40968.69353
119	40959.20082
120	40949.87227
121	40939.8674
122	40929.62158
123	40920.35167
124	40910.49541
125	40902.07682
126	40893.44521
127	40884.99008
128	40876.68986
129	40868.11057
130	40859.82919
131	40851.68493
132	40843.80594
133	40836.36349
134	40828.77163
135	40821.00433
136	40813.25076
137	40805.46625
138	40798.61387
139	40791.19643
140	40784.37601
141	40778.33976
142	40771.22652
143	40764.91527
144	40759.59972
145	40753.02154
146	40747.1373
147	40742.53655
148	40737.11295
149	40732.71985
150	40727.16192
151	40722.94203
152	40717.1971
153	40712.66756
154	40707.35413
155	40702.52227
156	40697.81233
157	40692.87989
158	40688.09016
159	40683.20342
160	40678.25436
161	40673.97466
162	40669.85582
163	40665.55946
164	40661.37145
165	40657.96101
166	40653.75474
167	40649.46338
168	40645.21887
169	40641.66811
170	40638.43357
171	40634.56233
172	40630.80039
173	40627.19947
174	40624.20662
175	40620.70101
176	40616.65506
177	40612.75968
178	40608.98588
179	40605.74397
180	40602.3899
181	40599.79361
182	40596.34513
183	40593.10563
184	40590.17489
185	40586.98967
186	40583.94811
187	40581.01379
188	40577.72668
189	40575.27375
190	40572.54573
191	40569.69873
192	40567.19967
193	40565.25758
194	40562.73575
195	40559.99909
196	40557.70995
197	40555.46288
198	40552.69709
199	40550.60252
200	40548.30165
201	40546.34755
202	40543.72885
203	40541.67282
204	40539.29151
205	40537.245
206	40535.4463
207	40533.71093
208	40531.90609
209	40530.27728
210	40528.33432
211	40526.89317
212	40525.52295
213	40523.83969
214	40522.17808
215	40520.96154
216	40519.45368
217	40517.93774
218	40516.2984
219	40514.2532
220	40512.4455
221	40511.08358
222	40509.67369
223	40508.107
224	40506.7222
225	40504.8672
226	40503.43691
227	40502.40865
228	40501.37013
229	40499.6105
230	40498.16866
231	40497.05412
232	40495.84811
233	40494.9136
234	40493.60671
235	40492.43384
236	40491.45001
237	40490.34351
238	40489.10048
239	40487.90024
240	40486.59454
241	40485.53798
242	40484.74935
243	40483.55426
244	40482.60555
245	40481.35047
246	40480.20951
247	40479.23889
248	40477.85779
249	40476.90502
250	40476.12777
251	40475.20866
252	40474.34333
253	40473.46045
254	40472.25878
255	40471.41002
256	40470.77635
257	40470.04239
258	40469.32665
259	40468.58796
260	40467.443
261	40466.74291
262	40466.03078
263	40465.13719
264	40464.39281
265	40463.76384
266	40463.07416
267	40462.26877
268	40461.37711
269	40460.80135
270	40460.14736
271	40459.6172
272	40458.95986
273	40458.3186
274	40457.77695
275	40457.04557
276	40456.40053
277	40455.80862
278	40455.24075
279	40454.69325
280	40454.09676
281	40453.57028
282	40453.04036
283	40452.53508
284	40451.88807
285	40451.36117
286	40450.90291
287	40450.33767
288	40449.91052
289	40449.43563
290	40448.66759
291	40448.08923
292	40447.58358
293	40447.11414
294	40446.68549
295	40446.45012
296	40446.16839
297	40445.65359
298	40445.38977
299	40444.99186
300	40444.55766
301	40444.20761
302	40443.70951
303	40443.22181
304	40442.87875
305	40442.54756
306	40442.15946
307	40441.83805
308	40441.47381
309	40441.05853
310	40440.68944
311	40440.32744
312	40440.02424
