iter	Passed	Remaining
0	41	83235
1	84	84436
2	130	86652
3	172	86202
4	205	81896
5	237	78781
6	270	76924
7	307	76679
8	339	74998
9	372	74076
10	402	72827
11	435	72125
12	466	71237
13	497	70569
14	527	69788
15	559	69320
16	591	69009
17	621	68479
18	650	67841
19	681	67503
20	712	67113
21	741	66695
22	771	66283
23	802	66096
24	835	65987
25	864	65642
26	896	65536
27	926	65239
28	956	65038
29	988	64887
30	1017	64615
31	1046	64385
32	1077	64227
33	1107	64054
34	1136	63822
35	1166	63637
36	1197	63526
37	1228	63427
38	1258	63267
39	1288	63129
40	1324	63280
41	1354	63128
42	1383	62973
43	1412	62810
44	1442	62682
45	1472	62561
46	1502	62447
47	1532	62323
48	1561	62179
49	1591	62080
50	1621	61959
51	1653	61929
52	1685	61901
53	1716	61863
54	1746	61780
55	1777	61720
56	1807	61604
57	1835	61453
58	1864	61342
59	1895	61285
60	1924	61181
61	1954	61083
62	1982	60968
63	2013	60898
64	2041	60776
65	2071	60714
66	2100	60604
67	2128	60478
68	2160	60462
69	2191	60411
70	2220	60317
71	2249	60238
72	2278	60150
73	2308	60080
74	2336	59979
75	2367	59946
76	2396	59845
77	2424	59739
78	2452	59647
79	2480	59541
80	2509	59449
81	2537	59350
82	2567	59305
83	2598	59267
84	2627	59188
85	2656	59118
86	2686	59073
87	2717	59050
88	2747	58989
89	2776	58921
90	2811	58970
91	2840	58913
92	2868	58819
93	2899	58788
94	2925	58663
95	2958	58683
96	2991	58695
97	3023	58687
98	3056	58692
99	3085	58620
100	3118	58632
101	3148	58594
102	3177	58517
103	3208	58494
104	3237	58434
105	3271	58450
106	3304	58463
107	3339	58500
108	3376	58577
109	3409	58576
110	3440	58557
111	3469	58491
112	3499	58436
113	3530	58412
114	3560	58353
115	3589	58290
116	3624	58331
117	3663	58423
118	3697	58445
119	3729	58426
120	3760	58401
121	3790	58349
122	3821	58319
123	3850	58256
124	3877	58167
125	3909	58139
126	3939	58096
127	3968	58038
128	4006	58106
129	4042	58153
130	4071	58083
131	4101	58036
132	4134	58043
133	4166	58026
134	4198	58002
135	4241	58134
136	4277	58166
137	4311	58180
138	4348	58214
139	4386	58272
140	4424	58330
141	4456	58305
142	4488	58286
143	4516	58206
144	4547	58176
145	4580	58160
146	4612	58139
147	4640	58070
148	4669	58010
149	4697	57940
150	4728	57900
151	4760	57876
152	4789	57818
153	4818	57761
154	4847	57700
155	4878	57663
156	4907	57602
157	4936	57550
158	4966	57502
159	4993	57429
160	5025	57403
161	5057	57379
162	5087	57334
163	5114	57257
164	5141	57184
165	5172	57151
166	5202	57098
167	5229	57031
168	5259	56982
169	5287	56921
170	5317	56876
171	5347	56830
172	5377	56788
173	5405	56730
174	5434	56669
175	5462	56608
176	5492	56570
177	5522	56525
178	5549	56460
179	5578	56406
180	5606	56344
181	5638	56327
182	5672	56318
183	5709	56350
184	5751	56426
185	5787	56447
186	5821	56442
187	5851	56394
188	5881	56355
189	5910	56309
190	5941	56272
191	5970	56220
192	5998	56161
193	6028	56122
194	6060	56097
195	6089	56051
196	6119	56009
197	6147	55946
198	6176	55897
199	6204	55839
200	6233	55795
201	6262	55738
202	6289	55678
203	6318	55624
204	6344	55550
205	6373	55508
206	6401	55449
207	6430	55402
208	6456	55328
209	6486	55288
210	6514	55237
211	6545	55206
212	6575	55169
213	6603	55112
214	6633	55077
215	6663	55036
216	6690	54975
217	6722	54952
218	6750	54900
219	6779	54854
220	6808	54809
221	6837	54763
222	6865	54709
223	6893	54655
224	6922	54609
225	6954	54590
226	6984	54555
227	7013	54508
228	7040	54447
229	7069	54407
230	7098	54360
231	7127	54316
232	7156	54270
233	7184	54220
234	7214	54183
235	7244	54149
236	7273	54105
237	7301	54058
238	7331	54018
239	7360	53977
240	7389	53937
241	7418	53892
242	7446	53840
243	7475	53801
244	7509	53794
245	7539	53755
