feature,importance
cutoff_lag1Y_L1Y,8805
College_Branch_target_enc,7743
Historical_Std_Raw,7348
Historical_Mean_Primary,7303
college_prevY_allbranches_mean_L1Y,7145
College_Code_target_enc,6536
branch_prevY_mean_L1Y,4282
cutoff_lag2Y_L2Y,3766
Branch_Popularity,3695
Category_Score,3356
cutoff_lag1R_L1R,2541
Round,2457
cutoff_roll2R_mean_L1R,2229
cutoff_roll2R_std_L1R,1847
Year,1532
Historical_Mean_Percentile,1136
n_rounds_hist_L1R,1120
Years_Since_2020,983
Historical_Count_Raw,804
College_Tier_Numeric,705
Volatility_Category,504
Year_Squared,209
Program_Maturity,171
Exam_Type,48
Is_Established,29
is_first_round_L1R,28
Is_Recent,0
is_low_history_L1Y,0
cutoff_roll3Y_mean_L1Y,0
trend3Y_slope_L1Y,0
n_years_hist_L1Y,0
cutoff_roll3Y_std_L1Y,0
