College_Code,College_Name,Branch_Code,Branch,Quota,Cutoff_Rank,Year,Round,Exam_Type
UNKNOWN,UNKNOWN,AI,"ArtificialIntelligence",1G,9551,2024,0,KCET
UNKNOWN,UNKNOWN,AI,"ArtificialIntelligence",2AG,7993,2024,0,KCET
UNKNOWN,UNKNOWN,AI,"ArtificialIntelligence",2AR,8818,2024,0,KCET
UNKNOWN,UNKNOWN,AI,"ArtificialIntelligence",2BG,8515,2024,0,KCET
UNKNOWN,UNKNOWN,AI,"ArtificialIntelligence",3AG,4853,2024,0,KCET
UNKNOWN,UNKNOWN,AI,"ArtificialIntelligence",3BG,5660,2024,0,KCET
UNKNOWN,UNKNOWN,AI,"ArtificialIntelligence",GM,4644,2024,0,KCET
UNKNOWN,UNKNOWN,AI,"ArtificialIntelligence",GMK,8135,2024,0,KCET
UNKNOWN,UNKNOWN,AI,"ArtificialIntelligence",GMR,6644,2024,0,KCET
UNKNOWN,UNKNOWN,AI,"ArtificialIntelligence",SCG,22838,2024,0,KCET
UNKNOWN,UNKNOWN,AI,"ArtificialIntelligence",SCK,35775,2024,0,KCET
UNKNOWN,UNKNOWN,AI,"ArtificialIntelligence",SCR,37041,2024,0,KCET
UNKNOWN,UNKNOWN,AI,"ArtificialIntelligence",STG,24785,2024,0,KCET
UNKNOWN,UNKNOWN,AI,"ArtificialIntelligence",STR,30896,2024,0,KCET
UNKNOWN,UNKNOWN,AR,Architecture,1G,265,2024,0,KCET
UNKNOWN,UNKNOWN,AR,Architecture,2AG,443,2024,0,KCET
UNKNOWN,UNKNOWN,AR,Architecture,2BG,203,2024,0,KCET
UNKNOWN,UNKNOWN,AR,Architecture,3AG,242,2024,0,KCET
UNKNOWN,UNKNOWN,AR,Architecture,3BG,295,2024,0,KCET
UNKNOWN,UNKNOWN,AR,Architecture,GM,198,2024,0,KCET
UNKNOWN,UNKNOWN,AR,Architecture,GMR,488,2024,0,KCET
UNKNOWN,UNKNOWN,AR,Architecture,SCG,499,2024,0,KCET
UNKNOWN,UNKNOWN,CE,Civil,1G,69263,2024,0,KCET
UNKNOWN,UNKNOWN,CE,Civil,2AG,69941,2024,0,KCET
UNKNOWN,UNKNOWN,CE,Civil,2AK,81714,2024,0,KCET
UNKNOWN,UNKNOWN,CE,Civil,2AR,78519,2024,0,KCET
UNKNOWN,UNKNOWN,CE,Civil,2BG,86550,2024,0,KCET
UNKNOWN,UNKNOWN,CE,Civil,2BR,108,2024,0,KCET
UNKNOWN,UNKNOWN,CE,Civil,3AG,65915,2024,0,KCET
UNKNOWN,UNKNOWN,CE,Civil,3AR,78376,2024,0,KCET
UNKNOWN,UNKNOWN,CE,Civil,3BG,68579,2024,0,KCET
UNKNOWN,UNKNOWN,CE,Civil,3BR,69405,2024,0,KCET
UNKNOWN,UNKNOWN,CE,Civil,GM,49408,2024,0,KCET
