College_Code,College_Name,Category,Branch,Cutoff_Rank,Year,Round,Exam_Type
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),2AH,AI Artificial Intelligence,6768,2023,1,CET
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),GMH,AI Artificial Intelligence,4384,2023,1,CET
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),GMRH,AI Artificial Intelligence,7499,2023,1,CET
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),SCH,AI Artificial Intelligence,32612,2023,1,CET
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),2AH,CE Civil,91118,2023,1,CET
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),2BH,CE Civil,96770,2023,1,CET
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),3AH,CE Civil,63844,2023,1,CET
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),GMH,CE Civil,60488,2023,1,CET
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),SCH,CE Civil,92203,2023,1,CET
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),STH,CE Civil,109874,2023,1,CET
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),STRH,CE Civil,132619,2023,1,CET
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),1H,CS Computers,5809,2023,1,CET
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),2AH,CS Computers,5021,2023,1,CET
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),2AKH,CS Computers,7714,2023,1,CET
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),2ARH,CS Computers,8796,2023,1,CET
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),3BH,CS Computers,3167,2023,1,CET
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),GMH,CS Computers,2831,2023,1,CET
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),SCH,CS Computers,17854,2023,1,CET
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),2AH,EC Electronics,12010,2023,1,CET
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),3BH,EC Electronics,8350,2023,1,CET
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),GMH,EC Electronics,8342,2023,1,CET
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),GMRH,EC Electronics,12435,2023,1,CET
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),SCH,EC Electronics,37746,2023,1,CET
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),STH,EC Electronics,30607,2023,1,CET
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),2AH,EE Electrical,42119,2023,1,CET
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),2BH,EE Electrical,59169,2023,1,CET
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),3AH,EE Electrical,28935,2023,1,CET
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),3BRH,EE Electrical,36924,2023,1,CET
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),GMH,EE Electrical,21102,2023,1,CET
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),GMKH,EE Electrical,38116,2023,1,CET
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),SCH,EE Electrical,61376,2023,1,CET
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),2AH,IE Info.Science,5835,2023,1,CET
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),GMH,IE Info.Science,3874,2023,1,CET
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),GMRH,IE Info.Science,9360,2023,1,CET
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),SCH,IE Info.Science,30276,2023,1,CET
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),1H,ME Mechanical,83509,2023,1,CET
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),2AH,ME Mechanical,100674,2023,1,CET
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),GMH,ME Mechanical,61921,2023,1,CET
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),GMRH,ME Mechanical,78604,2023,1,CET
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),SCH,ME Mechanical,155648,2023,1,CET
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),SCKH,ME Mechanical,191764,2023,1,CET
E001,University of Visvesvaraya College of Engineering Bangalore ( PUBLIC UNIV. ),STH,ME Mechanical,145187,2023,1,CET
E002,S K S J T Institute of Engineering. Bangalore,2AH,CE Civil,110712,2023,1,CET
E002,S K S J T Institute of Engineering. Bangalore,GMH,CE Civil,95972,2023,1,CET
E002,S K S J T Institute of Engineering. Bangalore,GMRH,CE Civil,125032,2023,1,CET
E002,S K S J T Institute of Engineering. Bangalore,SCH,CE Civil,118281,2023,1,CET
E002,S K S J T Institute of Engineering. Bangalore,1H,CS Computers,20302,2023,1,CET
E002,S K S J T Institute of Engineering. Bangalore,3BRH,CS Computers,15261,2023,1,CET
E002,S K S J T Institute of Engineering. Bangalore,GMH,CS Computers,12023,2023,1,CET
E002,S K S J T Institute of Engineering. Bangalore,STH,CS Computers,31471,2023,1,CET
E002,S K S J T Institute of Engineering. Bangalore,2AH,EC Electronics,30123,2023,1,CET
E002,S K S J T Institute of Engineering. Bangalore,GMH,EC Electronics,29720,2023,1,CET
E002,S K S J T Institute of Engineering. Bangalore,SCH,EC Electronics,78595,2023,1,CET
E002,S K S J T Institute of Engineering. Bangalore,STRH,EC Electronics,97585,2023,1,CET
E002,S K S J T Institute of Engineering. Bangalore,3BH,TX Textiles,184893,2023,1,CET
E002,S K S J T Institute of Engineering. Bangalore,GMH,TX Textiles,169314,2023,1,CET
E003,"B M S College of Engineering Basavanagudi,Bangalore",2AH,CE Civil,60077,2023,1,CET
E003,"B M S College of Engineering Basavanagudi,Bangalore",GMH,CE Civil,53339,2023,1,CET
E003,"B M S College of Engineering Basavanagudi,Bangalore",SCH,CE Civil,110027,2023,1,CET
E003,"B M S College of Engineering Basavanagudi,Bangalore",1H,EC Electronics,12240,2023,1,CET
E003,"B M S College of Engineering Basavanagudi,Bangalore",3AH,EC Electronics,8747,2023,1,CET
E003,"B M S College of Engineering Basavanagudi,Bangalore",GMH,EC Electronics,2879,2023,1,CET
E003,"B M S College of Engineering Basavanagudi,Bangalore",GMRH,EC Electronics,6424,2023,1,CET
E003,"B M S College of Engineering Basavanagudi,Bangalore",3BH,EE Electrical,17698,2023,1,CET
E003,"B M S College of Engineering Basavanagudi,Bangalore",GMH,EE Electrical,10156,2023,1,CET
E003,"B M S College of Engineering Basavanagudi,Bangalore",STH,EE Electrical,97912,2023,1,CET
E003,"B M S College of Engineering Basavanagudi,Bangalore",STKH,EE Electrical,105891,2023,1,CET
E003,"B M S College of Engineering Basavanagudi,Bangalore",2AH,IM Ind. Engg. Mgmt.,100092,2023,1,CET
E003,"B M S College of Engineering Basavanagudi,Bangalore",3BRH,IM Ind. Engg. Mgmt.,88932,2023,1,CET
E003,"B M S College of Engineering Basavanagudi,Bangalore",GMH,IM Ind. Engg. Mgmt.,82700,2023,1,CET
E003,"B M S College of Engineering Basavanagudi,Bangalore",SCH,IM Ind. Engg. Mgmt.,141944,2023,1,CET
E003,"B M S College of Engineering Basavanagudi,Bangalore",2AH,ME Mechanical,68899,2023,1,CET
E003,"B M S College of Engineering Basavanagudi,Bangalore",GMH,ME Mechanical,29971,2023,1,CET
E003,"B M S College of Engineering Basavanagudi,Bangalore",GMRH,ME Mechanical,44610,2023,1,CET
E003,"B M S College of Engineering Basavanagudi,Bangalore",SCH,ME Mechanical,159601,2023,1,CET
E004,Dr. Ambedkar Institute Of Technology Bangalore,2AH,CE Civil,114384,2023,1,CET
E004,Dr. Ambedkar Institute Of Technology Bangalore,GMH,CE Civil,104268,2023,1,CET
E004,Dr. Ambedkar Institute Of Technology Bangalore,SCH,CE Civil,134545,2023,1,CET
E004,Dr. Ambedkar Institute Of Technology Bangalore,STH,CE Civil,160658,2023,1,CET
E004,Dr. Ambedkar Institute Of Technology Bangalore,1H,CS Computers,14995,2023,1,CET
E004,Dr. Ambedkar Institute Of Technology Bangalore,GMH,CS Computers,7811,2023,1,CET
E004,Dr. Ambedkar Institute Of Technology Bangalore,GMRH,CS Computers,10609,2023,1,CET
E004,Dr. Ambedkar Institute Of Technology Bangalore,SCH,CS Computers,26692,2023,1,CET
E004,Dr. Ambedkar Institute Of Technology Bangalore,2AH,EC Electronics,22347,2023,1,CET
E004,Dr. Ambedkar Institute Of Technology Bangalore,2ARH,EC Electronics,25626,2023,1,CET
E004,Dr. Ambedkar Institute Of Technology Bangalore,3BH,EC Electronics,21960,2023,1,CET
E004,Dr. Ambedkar Institute Of Technology Bangalore,GMH,EC Electronics,18724,2023,1,CET
E004,Dr. Ambedkar Institute Of Technology Bangalore,SCH,EC Electronics,61721,2023,1,CET
E004,Dr. Ambedkar Institute Of Technology Bangalore,SCKH,EC Electronics,71638,2023,1,CET
E004,Dr. Ambedkar Institute Of Technology Bangalore,STH,EC Electronics,61770,2023,1,CET
E004,Dr. Ambedkar Institute Of Technology Bangalore,2BH,EE Electrical,90690,2023,1,CET
E004,Dr. Ambedkar Institute Of Technology Bangalore,GMH,EE Electrical,44424,2023,1,CET
E004,Dr. Ambedkar Institute Of Technology Bangalore,GMRH,EE Electrical,44847,2023,1,CET
E004,Dr. Ambedkar Institute Of Technology Bangalore,2AH,EI Elec. Inst. Engg,98427,2023,1,CET
E004,Dr. Ambedkar Institute Of Technology Bangalore,GMH,EI Elec. Inst. Engg,53430,2023,1,CET
E004,Dr. Ambedkar Institute Of Technology Bangalore,2AH,ET Elec. Telecommn. Engg.,55452,2023,1,CET
E004,Dr. Ambedkar Institute Of Technology Bangalore,GMH,ET Elec. Telecommn. Engg.,38054,2023,1,CET
E004,Dr. Ambedkar Institute Of Technology Bangalore,GMRH,ET Elec. Telecommn. Engg.,67400,2023,1,CET
E004,Dr. Ambedkar Institute Of Technology Bangalore,SCH,ET Elec. Telecommn. Engg.,171868,2023,1,CET
E004,Dr. Ambedkar Institute Of Technology Bangalore,3AH,IM Ind. Engg. Mgmt.,116091,2023,1,CET
E004,Dr. Ambedkar Institute Of Technology Bangalore,GMH,IM Ind. Engg. Mgmt.,88323,2023,1,CET
E004,Dr. Ambedkar Institute Of Technology Bangalore,2AH,ME Mechanical,123452,2023,1,CET
E004,Dr. Ambedkar Institute Of Technology Bangalore,3BH,ME Mechanical,112856,2023,1,CET
E004,Dr. Ambedkar Institute Of Technology Bangalore,GMH,ME Mechanical,109302,2023,1,CET
E004,Dr. Ambedkar Institute Of Technology Bangalore,GMKH,ME Mechanical,123463,2023,1,CET
E004,Dr. Ambedkar Institute Of Technology Bangalore,SCH,ME Mechanical,174688,2023,1,CET
E005,R. V. College of Engineering Bangalore,2AH,AI Artificial Intelligence,3773,2023,1,CET
E005,R. V. College of Engineering Bangalore,GMH,AI Artificial Intelligence,1152,2023,1,CET
E005,R. V. College of Engineering Bangalore,GMRH,AI Artificial Intelligence,3221,2023,1,CET
E005,R. V. College of Engineering Bangalore,SCH,AI Artificial Intelligence,11729,2023,1,CET
E005,R. V. College of Engineering Bangalore,2BH,BT Bio Technology,18308,2023,1,CET
E005,R. V. College of Engineering Bangalore,STRH,BT Bio Technology,198828,2023,1,CET
E005,R. V. College of Engineering Bangalore,GMH,CE Civil,18609,2023,1,CET
E005,R. V. College of Engineering Bangalore,SCH,CE Civil,51418,2023,1,CET
E005,R. V. College of Engineering Bangalore,3AH,CH Chemical,74518,2023,1,CET
E005,R. V. College of Engineering Bangalore,2AH,CS Computers,974,2023,1,CET
E005,R. V. College of Engineering Bangalore,2ARH,CS Computers,1761,2023,1,CET
E005,R. V. College of Engineering Bangalore,3BH,CS Computers,811,2023,1,CET
E005,R. V. College of Engineering Bangalore,GMH,CS Computers,365,2023,1,CET
E005,R. V. College of Engineering Bangalore,GMKH,CS Computers,2640,2023,1,CET
E005,R. V. College of Engineering Bangalore,SCH,CS Computers,6048,2023,1,CET
E005,R. V. College of Engineering Bangalore,STH,CS Computers,5216,2023,1,CET
E005,R. V. College of Engineering Bangalore,GMH,CY CS- Cyber Security,1239,2023,1,CET
E005,R. V. College of Engineering Bangalore,SCKH,CY CS- Cyber Security,99606,2023,1,CET
E005,R. V. College of Engineering Bangalore,GMH,DS Comp. Sc. Engg- Data Sc.,1155,2023,1,CET
E005,R. V. College of Engineering Bangalore,SCH,DS Comp. Sc. Engg- Data Sc.,13535,2023,1,CET
E005,R. V. College of Engineering Bangalore,2AH,EC Electronics,4463,2023,1,CET
E005,R. V. College of Engineering Bangalore,GMH,EC Electronics,1633,2023,1,CET
E005,R. V. College of Engineering Bangalore,SCH,EC Electronics,16080,2023,1,CET
E005,R. V. College of Engineering Bangalore,SCRH,EC Electronics,32920,2023,1,CET
E005,R. V. College of Engineering Bangalore,STH,EC Electronics,17802,2023,1,CET
E005,R. V. College of Engineering Bangalore,GMH,EE Electrical,6888,2023,1,CET
E005,R. V. College of Engineering Bangalore,STH,EE Electrical,26885,2023,1,CET
E005,R. V. College of Engineering Bangalore,3BH,EI Elec. Inst. Engg,16070,2023,1,CET
E005,R. V. College of Engineering Bangalore,GMH,EI Elec. Inst. Engg,5496,2023,1,CET
E005,R. V. College of Engineering Bangalore,1H,ET Elec. Telecommn. Engg.,12120,2023,1,CET
E005,R. V. College of Engineering Bangalore,GMH,ET Elec. Telecommn. Engg.,7734,2023,1,CET
E005,R. V. College of Engineering Bangalore,2AH,IE Info.Science,1809,2023,1,CET
E005,R. V. College of Engineering Bangalore,GMH,IE Info.Science,490,2023,1,CET
E005,R. V. College of Engineering Bangalore,GMRH,IE Info.Science,946,2023,1,CET
E005,R. V. College of Engineering Bangalore,SCH,IE Info.Science,9043,2023,1,CET
E005,R. V. College of Engineering Bangalore,1H,IM Ind. Engg. Mgmt.,158028,2023,1,CET
E005,R. V. College of Engineering Bangalore,3BRH,IM Ind. Engg. Mgmt.,65380,2023,1,CET
E005,R. V. College of Engineering Bangalore,2AH,ME Mechanical,35382,2023,1,CET
E005,R. V. College of Engineering Bangalore,GMH,ME Mechanical,8574,2023,1,CET
E005,R. V. College of Engineering Bangalore,GMRH,ME Mechanical,24824,2023,1,CET
E005,R. V. College of Engineering Bangalore,SCH,ME Mechanical,67826,2023,1,CET
E005,R. V. College of Engineering Bangalore,2AH,SE Aero Space Engg.,7909,2023,1,CET
E005,R. V. College of Engineering Bangalore,GMH,SE Aero Space Engg.,3770,2023,1,CET
E006,M S Ramaiah Institute of Technology Bangalore,GMH,"AD Artificial Intel, Data Sc",3526,2023,1,CET
E006,M S Ramaiah Institute of Technology Bangalore,SCH,"AD Artificial Intel, Data Sc",25771,2023,1,CET
E006,M S Ramaiah Institute of Technology Bangalore,3AH,AI Artificial Intelligence,4233,2023,1,CET
E006,M S Ramaiah Institute of Technology Bangalore,GMKH,AI Artificial Intelligence,14382,2023,1,CET
E006,M S Ramaiah Institute of Technology Bangalore,1H,BT Bio Technology,87090,2023,1,CET
E006,M S Ramaiah Institute of Technology Bangalore,GMH,BT Bio Technology,10748,2023,1,CET
E006,M S Ramaiah Institute of Technology Bangalore,2AH,"CA CS (AI, Machine Learning)",6044,2023,1,CET
E006,M S Ramaiah Institute of Technology Bangalore,GMH,"CA CS (AI, Machine Learning)",3246,2023,1,CET
E006,M S Ramaiah Institute of Technology Bangalore,GMRH,"CA CS (AI, Machine Learning)",7904,2023,1,CET
E006,M S Ramaiah Institute of Technology Bangalore,SCH,"CA CS (AI, Machine Learning)",24880,2023,1,CET
E006,M S Ramaiah Institute of Technology Bangalore,3AH,CE Civil,72083,2023,1,CET
E006,M S Ramaiah Institute of Technology Bangalore,GMRH,CE Civil,51629,2023,1,CET
E006,M S Ramaiah Institute of Technology Bangalore,GMH,CH Chemical,27033,2023,1,CET
E006,M S Ramaiah Institute of Technology Bangalore,2AH,CS Computers,2799,2023,1,CET
E006,M S Ramaiah Institute of Technology Bangalore,GMH,CS Computers,1464,2023,1,CET
E006,M S Ramaiah Institute of Technology Bangalore,SCH,CS Computers,11490,2023,1,CET
E006,M S Ramaiah Institute of Technology Bangalore,SCKH,CS Computers,13834,2023,1,CET
E006,M S Ramaiah Institute of Technology Bangalore,SCRH,CS Computers,14959,2023,1,CET
E006,M S Ramaiah Institute of Technology Bangalore,STH,CS Computers,12101,2023,1,CET
E006,M S Ramaiah Institute of Technology Bangalore,3BH,CY CS- Cyber Security,3892,2023,1,CET
E006,M S Ramaiah Institute of Technology Bangalore,GMH,CY CS- Cyber Security,3359,2023,1,CET
E006,M S Ramaiah Institute of Technology Bangalore,2AH,EC Electronics,6423,2023,1,CET
E006,M S Ramaiah Institute of Technology Bangalore,2ARH,EC Electronics,13554,2023,1,CET
E006,M S Ramaiah Institute of Technology Bangalore,GMH,EC Electronics,4265,2023,1,CET
E006,M S Ramaiah Institute of Technology Bangalore,SCH,EC Electronics,26082,2023,1,CET
E006,M S Ramaiah Institute of Technology Bangalore,3BH,EE Electrical,11620,2023,1,CET
E006,M S Ramaiah Institute of Technology Bangalore,GMH,EE Electrical,8251,2023,1,CET
E006,M S Ramaiah Institute of Technology Bangalore,2BH,EI Elec. Inst. Engg,91841,2023,1,CET
E006,M S Ramaiah Institute of Technology Bangalore,GMRH,EI Elec. Inst. Engg,52300,2023,1,CET
E006,M S Ramaiah Institute of Technology Bangalore,GMH,ET Elec. Telecommn. Engg.,13448,2023,1,CET
E006,M S Ramaiah Institute of Technology Bangalore,STH,ET Elec. Telecommn. Engg.,121985,2023,1,CET
E006,M S Ramaiah Institute of Technology Bangalore,2AH,IE Info.Science,4472,2023,1,CET
E006,M S Ramaiah Institute of Technology Bangalore,3BRH,IE Info.Science,4605,2023,1,CET
E006,M S Ramaiah Institute of Technology Bangalore,GMH,IE Info.Science,2533,2023,1,CET
E006,M S Ramaiah Institute of Technology Bangalore,SCH,IE Info.Science,18790,2023,1,CET
E006,M S Ramaiah Institute of Technology Bangalore,2AH,IM Ind. Engg. Mgmt.,70853,2023,1,CET
E006,M S Ramaiah Institute of Technology Bangalore,GMH,IM Ind. Engg. Mgmt.,53693,2023,1,CET
E006,M S Ramaiah Institute of Technology Bangalore,GMH,MD Med.Elect.,52904,2023,1,CET
E006,M S Ramaiah Institute of Technology Bangalore,2AH,ME Mechanical,48224,2023,1,CET
E006,M S Ramaiah Institute of Technology Bangalore,GMH,ME Mechanical,28640,2023,1,CET
E006,M S Ramaiah Institute of Technology Bangalore,SCH,ME Mechanical,115643,2023,1,CET
E007,Dayananda Sagar College of Engineering Bangalore,GMH,AE Aeronaut.Engg,17715,2023,1,CET
E007,Dayananda Sagar College of Engineering Bangalore,SCH,AE Aeronaut.Engg,76828,2023,1,CET
E007,Dayananda Sagar College of Engineering Bangalore,2AH,AI Artificial Intelligence,9711,2023,1,CET
E007,Dayananda Sagar College of Engineering Bangalore,GMH,AI Artificial Intelligence,6725,2023,1,CET
E007,Dayananda Sagar College of Engineering Bangalore,3AH,AU Automobile,91384,2023,1,CET
E007,Dayananda Sagar College of Engineering Bangalore,2ARH,BT Bio Technology,167078,2023,1,CET
E007,Dayananda Sagar College of Engineering Bangalore,GMH,BT Bio Technology,32966,2023,1,CET
E007,Dayananda Sagar College of Engineering Bangalore,3BRH,CB Comp. Sc. and Bus Sys.,21558,2023,1,CET
E007,Dayananda Sagar College of Engineering Bangalore,GMH,CB Comp. Sc. and Bus Sys.,9830,2023,1,CET
E007,Dayananda Sagar College of Engineering Bangalore,1H,CD Computer Sc. and Design,14925,2023,1,CET
E007,Dayananda Sagar College of Engineering Bangalore,GMH,CD Computer Sc. and Design,9529,2023,1,CET
E007,Dayananda Sagar College of Engineering Bangalore,2AH,CE Civil,110438,2023,1,CET
E007,Dayananda Sagar College of Engineering Bangalore,GMH,CE Civil,92144,2023,1,CET
E007,Dayananda Sagar College of Engineering Bangalore,GMRH,CE Civil,122353,2023,1,CET
E007,Dayananda Sagar College of Engineering Bangalore,SCH,CE Civil,146444,2023,1,CET
E007,Dayananda Sagar College of Engineering Bangalore,STH,CE Civil,195737,2023,1,CET
E007,Dayananda Sagar College of Engineering Bangalore,2BH,CH Chemical,62448,2023,1,CET
E007,Dayananda Sagar College of Engineering Bangalore,3BH,CH Chemical,62189,2023,1,CET
E007,Dayananda Sagar College of Engineering Bangalore,GMH,CH Chemical,58821,2023,1,CET
E007,Dayananda Sagar College of Engineering Bangalore,2AH,CS Computers,5080,2023,1,CET
