College_Code,College_Name,Category,Branch,Cutoff_Rank,Year,Round,Exam_Type,Rank_Category,City,Min_Round,Max_Round,Round_Count,Best_Rank,Worst_Rank,Avg_Rank_Combo,Rank_Range,Trend_Signal,CTX_Seats,CTX_Avg_Rank,CTX_Best_Rank,CTX_Worst_Rank,CTX_Active_Colleges,CTX_Active_Branches,Round_Premium
E001,"Acharya Institute of Technology-Soladevanahalli, Bengaluru",GM,AE-Aeronautical Engineering,30316,2024,1,COMEDK,Good,Bangalore,1,3,2,30316,87175,58746.0,56859,Deteriorated,1196,55333.0,193,102243,149,59,0
E001,"Acharya Institute of Technology-Soladevanahalli, Bengaluru",GM,AI-Artificial Intelligence & Machine Learning,18743,2024,1,COMEDK,Very Good,Bangalore,1,4,3,18743,101534,50383.0,82791,Deteriorated,1196,55333.0,193,102243,149,59,0
E001,"Acharya Institute of Technology-Soladevanahalli, Bengaluru",KKR,AE-Aeronautical Engineering,69087,2024,1,COMEDK,Average,Bangalore,1,1,1,69087,69087,69087.0,0,SingleRound,1196,55333.0,193,102243,149,59,0
E001,"Acharya Institute of Technology-Soladevanahalli, Bengaluru",KKR,AI-Artificial Intelligence & Machine Learning,39916,2024,1,COMEDK,Good,Bangalore,1,2,2,39916,41746,40831.0,1830,Deteriorated,1196,55333.0,193,102243,149,59,0
E003,"A.C.S. College of Engineering-Kambipura Mysore Road, Bengaluru",GM,AE-Aeronautical Engineering,62967,2024,1,COMEDK,Average,Bangalore,1,1,1,62967,62967,62967.0,0,SingleRound,1196,55333.0,193,102243,149,59,0
E003,"A.C.S. College of Engineering-Kambipura Mysore Road, Bengaluru",GM,AS-Aerospace Engineering,33264,2024,1,COMEDK,Good,Bangalore,1,3,2,33264,84122,58693.0,50858,Deteriorated,1196,55333.0,193,102243,149,59,0
E003,"A.C.S. College of Engineering-Kambipura Mysore Road, Bengaluru",KKR,AE-Aeronautical Engineering,98722,2024,1,COMEDK,Below Average,Bangalore,1,1,1,98722,98722,98722.0,0,SingleRound,1196,55333.0,193,102243,149,59,0
E003,"A.C.S. College of Engineering-Kambipura Mysore Road, Bengaluru",KKR,AS-Aerospace Engineering,69992,2024,1,COMEDK,Average,Bangalore,1,1,1,69992,69992,69992.0,0,SingleRound,1196,55333.0,193,102243,149,59,0
E004,"Adichunchanagiri Institute Of Technology-Jyothi Nagara, Chikkamagaluru",GM,AI-Artificial Intelligence & Machine Learning,69328,2024,1,COMEDK,Average,Chikkamagaluru,1,3,2,69328,83320,76324.0,13992,Deteriorated,1196,55333.0,193,102243,149,59,0
E005,"Akash Institute of Engineering and Technology-Devanahalli, Bengaluru Rural",GM,AI-Artificial Intelligence & Machine Learning,29154,2024,1,COMEDK,Good,Bangalore Rural,1,3,2,29154,78979,54066.0,49825,Deteriorated,1196,55333.0,193,102243,149,59,0
E006,"Alvas Institute of Engineering and Technology-Moodbidri, Mangaluru",GM,AG-Agriculture Engineering,97806,2024,1,COMEDK,Below Average,Mangaluru,1,1,1,97806,97806,97806.0,0,SingleRound,1196,55333.0,193,102243,149,59,0
E006,"Alvas Institute of Engineering and Technology-Moodbidri, Mangaluru",GM,AI-Artificial Intelligence & Machine Learning,99127,2024,1,COMEDK,Below Average,Mangaluru,1,1,1,99127,99127,99127.0,0,SingleRound,1196,55333.0,193,102243,149,59,0
E007,"AMC Engineering College-Bannerghatta Rd, Bengaluru",GM,AE-Aeronautical Engineering,58659,2024,1,COMEDK,Average,Bangalore,1,3,2,58659,86167,72413.0,27508,Deteriorated,1196,55333.0,193,102243,149,59,0
E007,"AMC Engineering College-Bannerghatta Rd, Bengaluru",GM,AI-Artificial Intelligence & Machine Learning,38367,2024,1,COMEDK,Good,Bangalore,1,4,3,38367,96420,75348.0,58053,Deteriorated,1196,55333.0,193,102243,149,59,0
E007,"AMC Engineering College-Bannerghatta Rd, Bengaluru",KKR,AI-Artificial Intelligence & Machine Learning,62445,2024,1,COMEDK,Average,Bangalore,1,1,1,62445,62445,62445.0,0,SingleRound,1196,55333.0,193,102243,149,59,0
E009,"Angadi Institute of Technology and Management-Savagaon Road, Belagavi",GM,AD-Artificial Intelligence & Data Science,51030,2024,1,COMEDK,Average,Belagavi,1,3,2,51030,92275,71652.0,41245,Deteriorated,1196,55333.0,193,102243,149,59,0
E012,"Atria Institute of Technology-Hebbal, Bengaluru",GM,AI-Artificial Intelligence & Machine Learning,31357,2024,1,COMEDK,Good,Bangalore,1,4,3,31357,98519,66056.0,67162,Deteriorated,1196,55333.0,193,102243,149,59,0
E012,"Atria Institute of Technology-Hebbal, Bengaluru",KKR,AI-Artificial Intelligence & Machine Learning,78802,2024,1,COMEDK,Average,Bangalore,1,1,1,78802,78802,78802.0,0,SingleRound,1196,55333.0,193,102243,149,59,0
E013,"Akshaya Institute of Technology-Koratagere Road, Tumakuru",GM,AD-Artificial Intelligence & Data Science,84594,2024,1,COMEDK,Below Average,Tumakuru,1,4,3,63333,102126,83351.0,38793,Deteriorated,1196,55333.0,193,102243,149,59,0
E014,"Bharatesh Institute of Technology-Shindhollicross, Belagavi",GM,AI-Artificial Intelligence & Machine Learning,100356,2024,1,COMEDK,Below Average,Belagavi,1,1,1,100356,100356,100356.0,0,SingleRound,1196,55333.0,193,102243,149,59,0
E015,"B.N.M. Institute of Technology-Banashankari, Bengaluru",GM,AI-Artificial Intelligence & Machine Learning,13185,2024,1,COMEDK,Very Good,Bangalore,1,4,3,13185,40995,24774.0,27810,Deteriorated,1196,55333.0,193,102243,149,59,0
