College_Code,College_Name,Category,Branch,Cutoff_Rank,Year,Round,Exam_Type,Rank_Category,City,Min_Round,Max_Round,Round_Count,Best_Rank,Worst_Rank,Avg_Rank_Combo,Rank_Range,Trend_Signal,CTX_Seats,CTX_Avg_Rank,CTX_Best_Rank,CTX_Worst_Rank,CTX_Active_Colleges,CTX_Active_Branches,Round_Premium,Category_Enc,Trend_Signal_Enc,College_TE,Branch_TE,City_Avg_Rank,City_College_Count,Is_R2,Round_Exposure,Rank_Percentile,Rank_Band,Prestige_x_Branch,RoundVolatility,Stability_Flag
E001,"Acharya Institute of Technology-Soladevanahalli, Bengaluru",GM,AE-Aeronautical Engineering,30316,2024,1,COMEDK,Good,Bangalore,1,3,2,30316,87175,58746.0,56859,Deteriorated,1196,55333.0,193,102243,149,59,0,0,0,55928.9756097561,64615.82142857143,49851.061016949156,65,0,8.026845637583893,72.44718309859155,Top_50k,0.8655616283015442,28429.5,0
E001,"Acharya Institute of Technology-Soladevanahalli, Bengaluru",GM,AI-Artificial Intelligence & Machine Learning,18743,2024,1,COMEDK,Very Good,Bangalore,1,4,3,18743,101534,50383.0,82791,Deteriorated,1196,55333.0,193,102243,149,59,0,0,0,55928.9756097561,55284.36263736264,49851.061016949156,65,0,8.026845637583893,82.65845070422534,Top_20k,1.0116599512347062,27597.0,0
E001,"Acharya Institute of Technology-Soladevanahalli, Bengaluru",KKR,AE-Aeronautical Engineering,69087,2024,1,COMEDK,Average,Bangalore,1,1,1,69087,69087,69087.0,0,SingleRound,1196,55333.0,193,102243,149,59,0,1,-1,55928.9756097561,64615.82142857143,49851.061016949156,65,0,8.026845637583893,40.88908450704225,Top_80k,0.8655616283015442,0.0,0
E001,"Acharya Institute of Technology-Soladevanahalli, Bengaluru",KKR,AI-Artificial Intelligence & Machine Learning,39916,2024,1,COMEDK,Good,Bangalore,1,2,2,39916,41746,40831.0,1830,Deteriorated,1196,55333.0,193,102243,149,59,0,1,0,55928.9756097561,55284.36263736264,49851.061016949156,65,0,8.026845637583893,65.22887323943661,Top_50k,1.0116599512347062,915.0,1
E003,"A.C.S. College of Engineering-Kambipura Mysore Road, Bengaluru",GM,AE-Aeronautical Engineering,62967,2024,1,COMEDK,Average,Bangalore,1,1,1,62967,62967,62967.0,0,SingleRound,1196,55333.0,193,102243,149,59,0,0,-1,73191.35,64615.82142857143,49851.061016949156,65,0,8.026845637583893,46.61091549295775,Top_80k,1.1327156164207905,0.0,0
E003,"A.C.S. College of Engineering-Kambipura Mysore Road, Bengaluru",GM,AS-Aerospace Engineering,33264,2024,1,COMEDK,Good,Bangalore,1,3,2,33264,84122,58693.0,50858,Deteriorated,1196,55333.0,193,102243,149,59,0,0,0,73191.35,34886.391304347824,49851.061016949156,65,0,8.026845637583893,70.20246478873239,Top_50k,2.09799143056904,25429.0,0
E003,"A.C.S. College of Engineering-Kambipura Mysore Road, Bengaluru",KKR,AE-Aeronautical Engineering,98722,2024,1,COMEDK,Below Average,Bangalore,1,1,1,98722,98722,98722.0,0,SingleRound,1196,55333.0,193,102243,149,59,0,1,-1,73191.35,64615.82142857143,49851.061016949156,65,0,8.026845637583893,7.614436619718319,Rest,1.1327156164207905,0.0,0
E003,"A.C.S. College of Engineering-Kambipura Mysore Road, Bengaluru",KKR,AS-Aerospace Engineering,69992,2024,1,COMEDK,Average,Bangalore,1,1,1,69992,69992,69992.0,0,SingleRound,1196,55333.0,193,102243,149,59,0,1,-1,73191.35,34886.391304347824,49851.061016949156,65,0,8.026845637583893,40.140845070422536,Top_80k,2.09799143056904,0.0,0
E004,"Adichunchanagiri Institute Of Technology-Jyothi Nagara, Chikkamagaluru",GM,AI-Artificial Intelligence & Machine Learning,69328,2024,1,COMEDK,Average,Chikkamagaluru,1,3,2,69328,83320,76324.0,13992,Deteriorated,1196,55333.0,193,102243,149,59,0,0,0,85501.8,55284.36263736264,85501.8,1,0,8.026845637583893,40.71302816901409,Top_80k,1.5465819975324382,6996.0,0
E005,"Akash Institute of Engineering and Technology-Devanahalli, Bengaluru Rural",GM,AI-Artificial Intelligence & Machine Learning,29154,2024,1,COMEDK,Good,Bangalore Rural,1,3,2,29154,78979,54066.0,49825,Deteriorated,1196,55333.0,193,102243,149,59,0,0,0,52483.875,55284.36263736264,64646.833333333336,5,0,8.026845637583893,73.15140845070422,Top_50k,0.9493439463934419,24912.5,0
E006,"Alvas Institute of Engineering and Technology-Moodbidri, Mangaluru",GM,AG-Agriculture Engineering,97806,2024,1,COMEDK,Below Average,Mangaluru,1,1,1,97806,97806,97806.0,0,SingleRound,1196,55333.0,193,102243,149,59,0,0,-1,90149.5,84285.0,77543.91666666667,7,0,8.026845637583893,9.771126760563376,Rest,1.0695794032152814,0.0,0
E006,"Alvas Institute of Engineering and Technology-Moodbidri, Mangaluru",GM,AI-Artificial Intelligence & Machine Learning,99127,2024,1,COMEDK,Below Average,Mangaluru,1,1,1,99127,99127,99127.0,0,SingleRound,1196,55333.0,193,102243,149,59,0,0,-1,90149.5,55284.36263736264,77543.91666666667,7,0,8.026845637583893,6.866197183098592,Rest,1.6306509779507627,0.0,0
E007,"AMC Engineering College-Bannerghatta Rd, Bengaluru",GM,AE-Aeronautical Engineering,58659,2024,1,COMEDK,Average,Bangalore,1,3,2,58659,86167,72413.0,27508,Deteriorated,1196,55333.0,193,102243,149,59,0,0,0,72579.0303030303,64615.82142857143,49851.061016949156,65,0,8.026845637583893,50.04401408450704,Top_80k,1.1232393042199686,13754.0,0
E007,"AMC Engineering College-Bannerghatta Rd, Bengaluru",GM,AI-Artificial Intelligence & Machine Learning,38367,2024,1,COMEDK,Good,Bangalore,1,4,3,38367,96420,75348.0,58053,Deteriorated,1196,55333.0,193,102243,149,59,0,0,0,72579.0303030303,55284.36263736264,49851.061016949156,65,0,8.026845637583893,66.28521126760563,Top_50k,1.3128310943749484,19351.0,0
E007,"AMC Engineering College-Bannerghatta Rd, Bengaluru",KKR,AI-Artificial Intelligence & Machine Learning,62445,2024,1,COMEDK,Average,Bangalore,1,1,1,62445,62445,62445.0,0,SingleRound,1196,55333.0,193,102243,149,59,0,1,-1,72579.0303030303,55284.36263736264,49851.061016949156,65,0,8.026845637583893,47.07306338028169,Top_80k,1.3128310943749484,0.0,0
E009,"Angadi Institute of Technology and Management-Savagaon Road, Belagavi",GM,AD-Artificial Intelligence & Data Science,51030,2024,1,COMEDK,Average,Belagavi,1,3,2,51030,92275,71652.0,41245,Deteriorated,1196,55333.0,193,102243,149,59,0,0,0,82217.42857142857,57754.49382716049,70207.17171717172,8,0,8.026845637583893,55.809859154929576,Top_80k,1.4235676416362906,20622.5,0
E012,"Atria Institute of Technology-Hebbal, Bengaluru",GM,AI-Artificial Intelligence & Machine Learning,31357,2024,1,COMEDK,Good,Bangalore,1,4,3,31357,98519,66056.0,67162,Deteriorated,1196,55333.0,193,102243,149,59,0,0,0,70905.34782608696,55284.36263736264,49851.061016949156,65,0,8.026845637583893,71.5669014084507,Top_50k,1.2825570277655194,22387.333333333332,0
E012,"Atria Institute of Technology-Hebbal, Bengaluru",KKR,AI-Artificial Intelligence & Machine Learning,78802,2024,1,COMEDK,Average,Bangalore,1,1,1,78802,78802,78802.0,0,SingleRound,1196,55333.0,193,102243,149,59,0,1,-1,70905.34782608696,55284.36263736264,49851.061016949156,65,0,8.026845637583893,32.460387323943664,Top_80k,1.2825570277655194,0.0,0
E013,"Akshaya Institute of Technology-Koratagere Road, Tumakuru",GM,AD-Artificial Intelligence & Data Science,84594,2024,1,COMEDK,Below Average,Tumakuru,1,4,3,63333,102126,83351.0,38793,Deteriorated,1196,55333.0,193,102243,149,59,0,0,0,88044.4,57754.49382716049,47443.375,4,0,8.026845637583893,27.200704225352112,Rest,1.5244597288565434,12931.0,0
E014,"Bharatesh Institute of Technology-Shindhollicross, Belagavi",GM,AI-Artificial Intelligence & Machine Learning,100356,2024,1,COMEDK,Below Average,Belagavi,1,1,1,100356,100356,100356.0,0,SingleRound,1196,55333.0,193,102243,149,59,0,0,-1,72003.6,55284.36263736264,70207.17171717172,8,0,8.026845637583893,4.049295774647888,Rest,1.3024225398474263,0.0,0
E015,"B.N.M. Institute of Technology-Banashankari, Bengaluru",GM,AI-Artificial Intelligence & Machine Learning,13185,2024,1,COMEDK,Very Good,Bangalore,1,4,3,13185,40995,24774.0,27810,Deteriorated,1196,55333.0,193,102243,149,59,0,0,0,40362.2962962963,55284.36263736264,49851.061016949156,65,0,8.026845637583893,87.32394366197184,Top_20k,0.7300852242984599,9270.0,0
E015,"B.N.M. Institute of Technology-Banashankari, Bengaluru",KKR,AI-Artificial Intelligence & Machine Learning,37394,2024,1,COMEDK,Good,Bangalore,1,2,2,37394,51067,44230.0,13673,Deteriorated,1196,55333.0,193,102243,149,59,0,1,0,40362.2962962963,55284.36263736264,49851.061016949156,65,0,8.026845637583893,66.85739436619718,Top_50k,0.7300852242984599,6836.5,0
