College_Code,Branch,Category,Min_Round,Max_Round,Round_Count,Best_Rank,Worst_Rank,Avg_Rank_Combo,Rank_Range,Trend_Signal
E001,AE-Aeronautical Engineering,GM,1,3,2,30316,87175,58746.0,56859,Deteriorated
E001,AE-Aeronautical Engineering,KKR,1,1,1,69087,69087,69087.0,0,SingleRound
E001,AI-Artificial Intelligence & Machine Learning,GM,1,4,3,18743,101534,50383.0,82791,Deteriorated
E001,AI-Artificial Intelligence & Machine Learning,KKR,1,2,2,39916,41746,40831.0,1830,Deteriorated
E001,BT- Biotechnology,GM,3,3,1,101854,101854,101854.0,0,SingleRound
E001,BT-Bio-technology,GM,1,1,1,46902,46902,46902.0,0,SingleRound
E001,CD-Computer Science & Engineering (Data Science),GM,1,4,3,17174,100866,49322.0,83692,Deteriorated
E001,CD-Computer Science & Engineering (Data Science),KKR,1,2,2,44419,62558,53488.0,18139,Deteriorated
E001,CS-Computer Science & Engineering,GM,1,4,3,16299,66375,36792.0,50076,Deteriorated
E001,CS-Computer Science & Engineering,KKR,1,2,2,42048,53948,47998.0,11900,Deteriorated
E001,CV-Civil Engineering,GM,1,1,1,58244,58244,58244.0,0,SingleRound
E001,CV-Civil Engineering,KKR,1,1,1,93817,93817,93817.0,0,SingleRound
E001,EC-Electronics & Comm- unication Engineering,GM,4,4,1,69714,69714,69714.0,0,SingleRound
E001,EC-Electronics & Comm-unication Engineering,GM,1,1,1,23183,23183,23183.0,0,SingleRound
E001,EC-Electronics & Comm-unication Engineering,KKR,1,1,1,63631,63631,63631.0,0,SingleRound
E001,EC-Electronics & Communication Engineering,GM,3,3,1,46798,46798,46798.0,0,SingleRound
E001,EC-Electronics & Communication Engineering,KKR,2,2,1,75718,75718,75718.0,0,SingleRound
E001,EE-Electrical & Electronics Engineering,GM,1,4,3,25928,89954,48985.0,64026,Improved
E001,EE-Electrical & Electronics Engineering,KKR,1,2,2,68728,87923,78326.0,19195,Improved
E001,IS-Information Science & Engineering,GM,1,4,3,21963,61684,41008.0,39721,Deteriorated
E001,IS-Information Science & Engineering,KKR,1,2,2,47020,70849,58934.0,23829,Deteriorated
E001,ME-Mechanical Engineering,GM,1,3,2,54924,98399,76662.0,43475,Deteriorated
E001,MT- Mechatronics Engineering,GM,3,3,1,75826,75826,75826.0,0,SingleRound
E001,MT-Mecha-tronics Engineering,GM,1,1,1,58876,58876,58876.0,0,SingleRound
E003,AE-Aeronautical Engineering,GM,1,1,1,62967,62967,62967.0,0,SingleRound
E003,AE-Aeronautical Engineering,KKR,1,1,1,98722,98722,98722.0,0,SingleRound
E003,AS-Aerospace Engineering,GM,1,3,2,33264,84122,58693.0,50858,Deteriorated
E003,AS-Aerospace Engineering,KKR,1,1,1,69992,69992,69992.0,0,SingleRound
E003,BM-Bio-Medical Engineering,GM,1,3,2,67475,94280,80878.0,26805,Improved
E003,CD-Computer Science & Engineering (Data Science),GM,1,3,2,53968,99733,76850.0,45765,Deteriorated
E003,CO-Computer Science & Engineering (IOT),GM,1,3,2,64223,70928,67576.0,6705,Deteriorated
E003,CS-Computer Science & Engineering,GM,1,4,3,44304,99710,74159.0,55406,Deteriorated
E003,CS-Computer Science & Engineering,KKR,1,1,1,95746,95746,95746.0,0,SingleRound
E003,CY-Computer Science & Engineering (Cyber Security),GM,1,3,2,64079,83190,73634.0,19111,Deteriorated
E003,CY-Computer Science & Engineering (Cyber Security),KKR,1,1,1,72888,72888,72888.0,0,SingleRound
E003,EC-Electronics & Comm-unication Engineering,GM,1,1,1,60941,60941,60941.0,0,SingleRound
E003,EC-Electronics & Communication Engineering,GM,3,3,1,64831,64831,64831.0,0,SingleRound
E004,AI-Artificial Intelligence & Machine Learning,GM,1,3,2,69328,83320,76324.0,13992,Deteriorated
E004,CD-Computer Science & Engineering (Data Science),GM,1,1,1,100611,100611,100611.0,0,SingleRound
E004,CS-Computer Science & Engineering,GM,1,3,2,61281,94331,77806.0,33050,Deteriorated
E004,EC-Electronics & Comm-unication Engineering,GM,1,1,1,101891,101891,101891.0,0,SingleRound
E004,EE-Electrical & Electronics Engineering,GM,1,1,1,100408,100408,100408.0,0,SingleRound
E004,IS-Information Science & Engineering,GM,1,1,1,98081,98081,98081.0,0,SingleRound
E004,ME-Mechanical Engineering,GM,1,1,1,66323,66323,66323.0,0,SingleRound
E004,RI-Robotics & Artificial Intelligence,GM,1,1,1,79444,79444,79444.0,0,SingleRound
E005,AI-Artificial Intelligence & Machine Learning,GM,1,3,2,29154,78979,54066.0,49825,Deteriorated
E005,CD-Computer Science & Engineering (Data Science),GM,1,3,2,24511,46408,35460.0,21897,Deteriorated
E005,CI-Computer Science & Engineering (Artificial Intelligence & Machine Learning),GM,1,3,2,25601,97763,61682.0,72162,Deteriorated
E005,CS-Computer Science & Engineering,GM,1,4,3,17986,80238,48614.0,62252,Deteriorated
E005,CS-Computer Science & Engineering,KKR,1,1,1,83443,83443,83443.0,0,SingleRound
E005,CY-Computer Science & Engineering (Cyber Security),GM,1,3,2,26158,28781,27470.0,2623,Deteriorated
E005,EC-Electronics & Comm-unication Engineering,GM,1,1,1,49040,49040,49040.0,0,SingleRound
E005,EC-Electronics & Communication Engineering,GM,3,3,1,90125,90125,90125.0,0,SingleRound
E005,IS-Information Science & Engineering,GM,1,3,2,38461,75477,56969.0,37016,Deteriorated
E006,AG-Agriculture Engineering,GM,1,1,1,97806,97806,97806.0,0,SingleRound
E006,AI-Artificial Intelligence & Machine Learning,GM,1,1,1,99127,99127,99127.0,0,SingleRound
E006,CD-Computer Science & Engineering (Data Science),GM,1,1,1,99818,99818,99818.0,0,SingleRound
E006,CG-Computer Science & Design,GM,1,1,1,102220,102220,102220.0,0,SingleRound
E006,CS-Computer Science & Engineering,GM,1,4,3,72501,96523,83861.0,24022,Deteriorated
E006,CS-Computer Science & Engineering,KKR,1,1,1,99005,99005,99005.0,0,SingleRound
E006,CV-Civil Engineering,GM,1,1,1,52192,52192,52192.0,0,SingleRound
E006,EC-Electronics & Comm-unication Engineering,GM,1,1,1,98313,98313,98313.0,0,SingleRound
E006,IC-Computer Science & Engineering (IOT & Cyber Security Including Block Chain Technology),GM,1,1,1,81981,81981,81981.0,0,SingleRound
E006,IS-Information Science & Engineering,GM,1,1,1,99748,99748,99748.0,0,SingleRound
E007,AE-Aeronautical Engineering,GM,1,3,2,58659,86167,72413.0,27508,Deteriorated
E007,AI-Artificial Intelligence & Machine Learning,GM,1,4,3,38367,96420,75348.0,58053,Deteriorated
E007,AI-Artificial Intelligence & Machine Learning,KKR,1,1,1,62445,62445,62445.0,0,SingleRound
E007,CD-Computer Science & Engineering (Data Science),GM,1,4,3,38476,100868,60072.0,62392,Improved
E007,CD-Computer Science & Engineering (Data Science),KKR,1,2,2,86335,86862,86598.0,527,Deteriorated
E007,CI-Computer Science & Engineering (Artificial Intelligence & Machine Learning),GM,1,4,3,37687,92567,71878.0,54880,Deteriorated
E007,CI-Computer Science & Engineering (Artificial Intelligence & Machine Learning),KKR,1,1,1,87257,87257,87257.0,0,SingleRound
E007,CS-Computer Science & Engineering,GM,1,4,3,33653,100868,67288.0,67215,Deteriorated
E007,CS-Computer Science & Engineering,KKR,1,2,2,65959,94314,80136.0,28355,Deteriorated
E007,CV-Civil Engineering,GM,1,3,2,51676,93472,72574.0,41796,Improved
E007,EC-Electronics & Comm-unication Engineering,GM,1,1,1,50572,50572,50572.0,0,SingleRound
E007,EC-Electronics & Comm-unication Engineering,KKR,1,1,1,100596,100596,100596.0,0,SingleRound
E007,EC-Electronics & Communication Engineering,GM,3,3,1,95327,95327,95327.0,0,SingleRound
